var1,var2,Pearson coefficient (r),r-squared,Significance,p-value,Support (n)
KEYCODE,survey_irrigation_inground_front,0.133,0.018,Yes,0.000,5574
KEYCODE,survey_irrigation_inground_back,0.106,0.011,Yes,0.000,5574
KEYCODE,survey_irrigation_inground_drip,0.121,0.015,Yes,0.000,5574
KEYCODE,survey_irrigation_soaker,-0.102,0.011,Yes,0.000,5574
KEYCODE,survey_irrigation_hose_sprinkler,-0.175,0.031,Yes,0.000,5574
KEYCODE,survey_irrigation_hand,0.052,0.003,Yes,0.000,5574
KEYCODE,survey_irrigation_other,0.003,0.000,No,0.806,5574
KEYCODE,survey_conservation_shower_short,0.080,0.006,Yes,0.000,5574
KEYCODE,survey_replaced_showerheads_LF,0.023,0.001,No,0.080,5574
KEYCODE,survey_toilet_inserts,0.073,0.005,Yes,0.000,5574
KEYCODE,survey_replaced_toilets_ulft,0.091,0.008,Yes,0.000,5574
KEYCODE,survey_disposal_used_less,0.027,0.001,Yes,0.048,5574
KEYCODE,survey_dishwasher_used_less,0.027,0.001,Yes,0.040,5574
KEYCODE,survey_clothes_washer_used_less,0.035,0.001,Yes,0.010,5574
KEYCODE,survey_faucet_drips_repaired,0.030,0.001,Yes,0.023,5574
KEYCODE,survey_gray_water_last_few,-0.018,0.000,No,0.189,5574
KEYCODE,survey_car_washed_less_often,0.083,0.007,Yes,0.000,5574
KEYCODE,survey_irrigation_less_often,0.021,0.000,No,0.124,5574
KEYCODE,survey_irrigation_avoid_heat,-0.003,0.000,No,0.819,5574
KEYCODE,survey_irrigation_xeri,0.006,0.000,No,0.635,5574
KEYCODE,survey_irrigation_inground_timer_adjusted_conservation,0.121,0.015,Yes,0.000,5574
KEYCODE,survey_irrigation_efficient_system_installed,0.061,0.004,Yes,0.000,5574
KEYCODE,survey_irrigation_inground_cycle,0.010,0.000,No,0.454,5574
KEYCODE,survey_has_been_audited,0.035,0.001,Yes,0.009,5574
KEYCODE,survey_other_conservation,-0.085,0.007,Yes,0.000,5574
KEYCODE,survey_number_of_adults_winter,0.089,0.008,Yes,0.000,5534
KEYCODE,survey_number_of_teenagers_winter,0.028,0.001,Yes,0.036,5574
KEYCODE,survey_number_of_children_winter,0.039,0.002,Yes,0.004,5574
KEYCODE,survey_number_of_adults_summer,0.064,0.004,Yes,0.000,5530
KEYCODE,survey_number_of_teenagers_summer,0.022,0.000,No,0.096,5574
KEYCODE,survey_number_of_children_summer,0.039,0.002,Yes,0.004,5574
KEYCODE,survey_number_of_toilets,0.098,0.010,Yes,0.000,5566
KEYCODE,survey_number_of_bathtub_showers,0.050,0.002,Yes,0.000,5409
KEYCODE,survey_number_of_bathtub_only,0.171,0.029,Yes,0.000,3652
KEYCODE,survey_number_of_shower_only,0.134,0.018,Yes,0.000,4724
KEYCODE,survey_number_of_whirlpools,0.116,0.014,Yes,0.000,3786
KEYCODE,survey_number_of_bathroom_sinks,0.148,0.022,Yes,0.000,5527
KEYCODE,survey_number_of_kitchen_sinks,0.039,0.001,Yes,0.004,5545
KEYCODE,survey_number_of_utility_sinks,0.021,0.000,No,0.153,4581
KEYCODE,survey_number_of_bathtubs,0.098,0.010,Yes,0.000,5574
KEYCODE,survey_number_of_showers,0.120,0.014,Yes,0.000,5574
KEYCODE,survey_disposal,-0.056,0.003,Yes,0.000,5467
KEYCODE,survey_clothes_washer_top,0.032,0.001,Yes,0.017,5536
KEYCODE,survey_clothes_washer_front,0.003,0.000,No,0.823,4885
KEYCODE,survey_dishwasher,-0.006,0.000,No,0.633,5438
KEYCODE,survey_pool,0.245,0.060,Yes,0.000,5165
KEYCODE,survey_hot_tub,0.067,0.004,Yes,0.000,5138
KEYCODE,survey_evap_cooler,-0.045,0.002,Yes,0.001,5113
KEYCODE,survey_pressure_regulator,0.213,0.046,Yes,0.000,4550
KEYCODE,survey_treatment,0.270,0.073,Yes,0.000,5194
KEYCODE,survey_greenhouse,-0.042,0.002,Yes,0.002,5142
KEYCODE,survey_garden_flower,-0.022,0.000,No,0.110,5387
KEYCODE,survey_garden_veggie,-0.093,0.009,Yes,0.000,5229
KEYCODE,survey_clothes_washer,0.020,0.000,No,0.139,5548
KEYCODE,survey_aquarium,0.007,0.000,No,0.615,5574
KEYCODE,survey_hot_water_solar,0.017,0.000,No,0.207,5574
KEYCODE,survey_humidifier,-0.090,0.008,Yes,0.000,5574
KEYCODE,survey_ice_maker,-0.002,0.000,No,0.898,5574
KEYCODE,survey_hot_water_tankless,-0.023,0.001,No,0.091,5574
KEYCODE,survey_water_feature_outdoor_fountain,0.018,0.000,No,0.177,5574
KEYCODE,survey_water_feature_outdoor_pond,0.021,0.000,No,0.118,5574
KEYCODE,survey_water_feature_outdoor,0.029,0.001,Yes,0.030,5574
KEYCODE,survey_number_of_showers_lfsh,0.113,0.013,Yes,0.000,5149
KEYCODE,survey_number_of_toilets_16,0.194,0.037,Yes,0.000,4938
KEYCODE,survey_other_sources,-0.055,0.003,Yes,0.000,5347
KEYCODE,survey_canal_ditch,0.117,0.014,Yes,0.042,305
KEYCODE,survey_cistern,-0.021,0.000,No,0.718,305
KEYCODE,survey_well,-0.390,0.152,Yes,0.000,305
KEYCODE,survey_stream,0.027,0.001,No,0.639,305
KEYCODE,survey_has_alternative_source,0.312,0.097,Yes,0.000,305
KEYCODE,survey_rain_barrel,0.025,0.001,No,0.059,5574
KEYCODE,survey_roof_direction,0.002,0.000,No,0.899,5532
KEYCODE,survey_irrigation,0.004,0.000,No,0.744,5574
KEYCODE,survey_irrigation_inground,0.126,0.016,Yes,0.000,5574
KEYCODE,survey_irrigation_HOA,0.007,0.000,No,0.606,5574
KEYCODE,Survey_Irrigation_InGround_Front_Automatic,0.096,0.009,Yes,0.000,5574
KEYCODE,Survey_Irrigation_InGround_Back_Automatic,0.089,0.008,Yes,0.000,5574
KEYCODE,survey_irrigation_inground_timer,0.096,0.009,Yes,0.000,5574
KEYCODE,survey_irrigation_sensor_rain,0.047,0.002,Yes,0.001,4847
KEYCODE,survey_irrigation_sensor_soil,0.019,0.000,No,0.195,4847
KEYCODE,survey_conservation,0.034,0.001,Yes,0.012,5318
KEYCODE,survey_SFR,-0.024,0.001,No,0.080,5498
KEYCODE,survey_has_apartment,-0.028,0.001,Yes,0.041,5493
KEYCODE,survey_separate_meters,-0.248,0.061,Yes,0.000,4890
KEYCODE,survey_household_pays,-0.042,0.002,Yes,0.002,5527
KEYCODE,survey_adults_employed,0.054,0.003,Yes,0.000,5465
KEYCODE,survey_floors,-0.127,0.016,Yes,0.000,5506
KEYCODE,survey_renter,-0.042,0.002,Yes,0.002,5498
KEYCODE,reuws1_attitude_A,0.149,0.022,Yes,0.000,5399
KEYCODE,survey_drought,0.152,0.023,Yes,0.000,4267
KEYCODE,survey_highest_grade,-0.029,0.001,Yes,0.035,5357
KEYCODE,irrigated_area_sqft,0.082,0.007,Yes,0.006,1130
KEYCODE,Q3,-0.001,0.000,No,0.918,5259
KEYCODE,Q4no,-0.016,0.000,No,0.228,5573
KEYCODE,Q4year,0.054,0.003,Yes,0.000,5574
KEYCODE,Q5no,0.012,0.000,No,0.383,5574
KEYCODE,Q5year,0.018,0.000,No,0.180,5574
KEYCODE,Q6,0.023,0.001,No,0.087,5574
KEYCODE,Q13,0.383,0.147,Yes,0.000,5422
KEYCODE,Q14,0.078,0.006,Yes,0.000,5414
KEYCODE,Q20,0.060,0.004,Yes,0.000,5574
KEYCODE,Q23no,-0.137,0.019,Yes,0.000,5574
KEYCODE,Q23length,0.217,0.047,Yes,0.000,5574
KEYCODE,Q23width,0.214,0.046,Yes,0.000,5574
KEYCODE,Q23depth,0.219,0.048,Yes,0.000,5574
KEYCODE,survey_year,0.000,0.000,No,1.000,5574
KEYCODE,survey_parcel_sqft,0.054,0.003,Yes,0.000,4405
KEYCODE,survey_landscape_pct,-0.166,0.027,Yes,0.000,4470
KEYCODE,survey_landscape_turf_pct,-0.110,0.012,Yes,0.000,4495
KEYCODE,survey_irrigation_pct,-0.051,0.003,Yes,0.000,4769
KEYCODE,Survey_Car_Washed,0.109,0.012,Yes,0.000,5485
KEYCODE,survey_walk_washed,0.095,0.009,Yes,0.000,5476
KEYCODE,survey_number_of_adults,0.078,0.006,Yes,0.000,5545
KEYCODE,survey_number_of_teenagers,0.025,0.001,No,0.058,5574
KEYCODE,survey_number_of_children,0.039,0.002,Yes,0.003,5574
KEYCODE,capita,0.086,0.007,Yes,0.000,5574
KEYCODE,survey_homies,0.033,0.001,Yes,0.014,5465
KEYCODE,survey_year_built,0.256,0.065,Yes,0.000,5330
KEYCODE,survey_year_moved_in,0.079,0.006,Yes,0.000,5443
KEYCODE,survey_indoor_sqft,0.043,0.002,Yes,0.002,4984
KEYCODE,survey_monthly_rent,0.140,0.020,Yes,0.001,546
KEYCODE,survey_home_value,0.151,0.023,Yes,0.000,4735
KEYCODE,survey_household_income,0.166,0.028,Yes,0.000,4564
KEYCODE,TraceLengthDays,0.133,0.018,Yes,0.000,1187
KEYCODE,TotalGPD,0.094,0.009,Yes,0.001,1187
KEYCODE,IndoorGPD,0.129,0.017,Yes,0.000,1187
KEYCODE,OutdoorGPD,0.072,0.005,Yes,0.015,1146
KEYCODE,Bathtubgpd,0.023,0.001,No,0.535,725
KEYCODE,Clotheswashergpd,0.105,0.011,Yes,0.000,1160
KEYCODE,Dishwashergpd,-0.110,0.012,Yes,0.001,906
KEYCODE,Faucetgpd,0.097,0.009,Yes,0.001,1187
KEYCODE,Leakgpd,0.114,0.013,Yes,0.000,1184
KEYCODE,Othergpd,0.156,0.024,Yes,0.000,1099
KEYCODE,Showergpd,0.008,0.000,No,0.794,1178
KEYCODE,Toiletgpd,-0.012,0.000,No,0.691,1187
KEYCODE,Averageclotheswasherloadgal,-0.021,0.000,No,0.470,1160
KEYCODE,Clotheswasherloadsperday,0.109,0.012,Yes,0.000,1160
KEYCODE,Averageshowerseconds,0.008,0.000,No,0.797,1178
KEYCODE,Averageshowergal,-0.074,0.005,Yes,0.011,1178
KEYCODE,Averageshowermodeflowgpm,-0.082,0.007,Yes,0.005,1178
KEYCODE,Showersperday,0.039,0.001,No,0.185,1178
KEYCODE,Showerminutesperday,0.034,0.001,No,0.240,1178
KEYCODE,Averagetoiletflushvolume,-0.244,0.059,Yes,0.000,1187
KEYCODE,Toiletflushstdev,-0.069,0.005,Yes,0.018,1186
KEYCODE,survey_age_of_home,-0.256,0.065,Yes,0.000,5330
KEYCODE,pct_flushes_gt_2_2,-0.211,0.045,Yes,0.000,1187
KEYCODE,pct_flushes_lt_2_2,0.211,0.045,Yes,0.000,1187
KEYCODE,RandomSequence,0.001,0.000,No,0.953,5574
KEYCODE,NormalizedAnnual,0.016,0.000,No,0.240,5104
KEYCODE,NormalizedNonseasonal,0.031,0.001,No,0.280,1188
KEYCODE,NormalizedSeasonal,-0.009,0.000,No,0.770,1063
KEYCODE,StandardizedAnnualresidualbyfamily,-0.021,0.000,No,0.138,5075
KEYCODE,StandardizedNonseasonalresidualbyfamily,-0.036,0.001,No,0.215,1188
KEYCODE,StandardizedSeasonalresidualbyfamily,-0.029,0.001,No,0.342,1063
survey_irrigation_inground_front,survey_irrigation_inground_back,0.748,0.560,Yes,0.000,5574
survey_irrigation_inground_front,survey_irrigation_inground_drip,0.172,0.030,Yes,0.000,5574
survey_irrigation_inground_front,survey_irrigation_soaker,-0.076,0.006,Yes,0.000,5574
survey_irrigation_inground_front,survey_irrigation_hose_sprinkler,-0.366,0.134,Yes,0.000,5574
survey_irrigation_inground_front,survey_irrigation_hand,-0.135,0.018,Yes,0.000,5574
survey_irrigation_inground_front,survey_irrigation_other,-0.045,0.002,Yes,0.001,5574
survey_irrigation_inground_front,survey_conservation_shower_short,0.031,0.001,Yes,0.022,5574
survey_irrigation_inground_front,survey_replaced_showerheads_LF,0.001,0.000,No,0.918,5574
survey_irrigation_inground_front,survey_toilet_inserts,-0.001,0.000,No,0.912,5574
survey_irrigation_inground_front,survey_replaced_toilets_ulft,0.060,0.004,Yes,0.000,5574
survey_irrigation_inground_front,survey_disposal_used_less,0.113,0.013,Yes,0.000,5574
survey_irrigation_inground_front,survey_dishwasher_used_less,0.192,0.037,Yes,0.000,5574
survey_irrigation_inground_front,survey_clothes_washer_used_less,0.029,0.001,Yes,0.029,5574
survey_irrigation_inground_front,survey_faucet_drips_repaired,0.027,0.001,Yes,0.046,5574
survey_irrigation_inground_front,survey_gray_water_last_few,-0.039,0.001,Yes,0.004,5574
survey_irrigation_inground_front,survey_car_washed_less_often,-0.008,0.000,No,0.566,5574
survey_irrigation_inground_front,survey_irrigation_less_often,-0.066,0.004,Yes,0.000,5574
survey_irrigation_inground_front,survey_irrigation_avoid_heat,0.067,0.005,Yes,0.000,5574
survey_irrigation_inground_front,survey_irrigation_xeri,0.026,0.001,No,0.057,5574
survey_irrigation_inground_front,survey_irrigation_inground_timer_adjusted_conservation,0.452,0.205,Yes,0.000,5574
survey_irrigation_inground_front,survey_irrigation_efficient_system_installed,0.130,0.017,Yes,0.000,5574
survey_irrigation_inground_front,survey_irrigation_inground_cycle,0.123,0.015,Yes,0.000,5574
survey_irrigation_inground_front,survey_has_been_audited,0.052,0.003,Yes,0.000,5574
survey_irrigation_inground_front,survey_other_conservation,-0.047,0.002,Yes,0.000,5574
survey_irrigation_inground_front,survey_number_of_adults_winter,0.036,0.001,Yes,0.007,5534
survey_irrigation_inground_front,survey_number_of_teenagers_winter,0.003,0.000,No,0.803,5574
survey_irrigation_inground_front,survey_number_of_children_winter,0.030,0.001,Yes,0.023,5574
survey_irrigation_inground_front,survey_number_of_adults_summer,0.052,0.003,Yes,0.000,5530
survey_irrigation_inground_front,survey_number_of_teenagers_summer,0.003,0.000,No,0.849,5574
survey_irrigation_inground_front,survey_number_of_children_summer,0.028,0.001,Yes,0.038,5574
survey_irrigation_inground_front,survey_number_of_toilets,0.324,0.105,Yes,0.000,5566
survey_irrigation_inground_front,survey_number_of_bathtub_showers,0.158,0.025,Yes,0.000,5409
survey_irrigation_inground_front,survey_number_of_bathtub_only,0.164,0.027,Yes,0.000,3652
survey_irrigation_inground_front,survey_number_of_shower_only,0.222,0.049,Yes,0.000,4724
survey_irrigation_inground_front,survey_number_of_whirlpools,0.109,0.012,Yes,0.000,3786
