var1,var2,Pearson coefficient (r),r-squared,Significance,p-value,Support (n)
survey_year_built,survey_age_of_home,-1,1,Yes,0,5330
pct_flushes_gt_2_2,pct_flushes_lt_2_2,-1,1,Yes,0,1187
survey_number_of_children_winter,survey_number_of_children,0.993,0.986,Yes,0,5574
survey_number_of_children_summer,survey_number_of_children,0.993,0.986,Yes,0,5574
survey_number_of_teenagers_summer,survey_number_of_teenagers,0.99,0.981,Yes,0,5574
survey_number_of_teenagers_winter,survey_number_of_teenagers,0.99,0.98,Yes,0,5574
NormalizedSeasonal,StandardizedSeasonalresidualbyfamily,0.986,0.973,Yes,0,1063
TotalGPD,OutdoorGPD,0.981,0.963,Yes,0,1146
survey_number_of_adults_summer,survey_number_of_adults,0.978,0.957,Yes,0,5530
survey_number_of_adults_winter,survey_number_of_adults,0.976,0.953,Yes,0,5534
survey_number_of_children_winter,survey_number_of_children_summer,0.972,0.946,Yes,0,5574
survey_number_of_teenagers_winter,survey_number_of_teenagers_summer,0.96,0.922,Yes,0,5574
Survey_Irrigation_InGround_Front_Automatic,survey_irrigation_inground_timer,0.96,0.921,Yes,0,5574
Survey_Irrigation_InGround_Back_Automatic,survey_irrigation_inground_timer,0.959,0.919,Yes,0,5574
Clotheswashergpd,Clotheswasherloadsperday,0.952,0.906,Yes,0,1160
survey_dishwasher,Q5no,-0.949,0.901,Yes,0,5438
Q23length,Q23width,0.932,0.869,Yes,0,5574
survey_irrigation_inground_front,survey_irrigation_inground,0.929,0.863,Yes,0,5574
NormalizedAnnual,StandardizedAnnualresidualbyfamily,0.926,0.858,Yes,0,5075
survey_irrigation_inground_back,survey_irrigation_inground,0.926,0.857,Yes,0,5574
Showergpd,Showerminutesperday,0.923,0.853,Yes,0,1178
survey_number_of_adults_winter,survey_number_of_adults_summer,0.909,0.827,Yes,0,5519
Showersperday,Showerminutesperday,0.894,0.8,Yes,0,1178
IndoorGPD,NormalizedNonseasonal,0.892,0.796,Yes,0,1187
survey_pool,Q23depth,0.885,0.784,Yes,0,5165
survey_clothes_washer,Q4no,-0.878,0.772,Yes,0,5547
Showergpd,Showersperday,0.875,0.765,Yes,0,1178
survey_pool,Q23width,0.873,0.763,Yes,0,5165
Q23width,Q23depth,0.873,0.762,Yes,0,5574
Q23length,Q23depth,0.872,0.76,Yes,0,5574
survey_pool,Q23length,0.867,0.752,Yes,0,5165
NormalizedNonseasonal,StandardizedNonseasonalresidualbyfamily,0.854,0.73,Yes,0,1188
survey_number_of_toilets,survey_number_of_bathroom_sinks,0.847,0.717,Yes,0,5525
Survey_Irrigation_InGround_Front_Automatic,Survey_Irrigation_InGround_Back_Automatic,0.841,0.707,Yes,0,5574
survey_clothes_washer_top,survey_clothes_washer,0.811,0.657,Yes,0,5530
survey_number_of_bathtub_showers,survey_number_of_bathtubs,0.808,0.653,Yes,0,5409
StandardizedAnnualresidualbyfamily,StandardizedSeasonalresidualbyfamily,0.802,0.644,Yes,0,1063
NormalizedSeasonal,StandardizedAnnualresidualbyfamily,0.793,0.629,Yes,0,1063
NormalizedAnnual,NormalizedSeasonal,0.789,0.623,Yes,0,1063
survey_irrigation_inground_back,Survey_Irrigation_InGround_Back_Automatic,0.76,0.578,Yes,0,5574
Averagetoiletflushvolume,pct_flushes_gt_2_2,0.758,0.575,Yes,0,1187
Averagetoiletflushvolume,pct_flushes_lt_2_2,-0.758,0.575,Yes,0,1187
survey_irrigation_inground,survey_irrigation_inground_timer,0.751,0.564,Yes,0,5574
survey_irrigation_inground_front,survey_irrigation_inground_back,0.748,0.56,Yes,0,5574
survey_water_feature_outdoor_pond,survey_water_feature_outdoor,0.748,0.56,Yes,0,5574
survey_number_of_toilets,survey_number_of_showers,0.737,0.543,Yes,0,5566
NormalizedAnnual,StandardizedSeasonalresidualbyfamily,0.732,0.536,Yes,0,1063
survey_irrigation_inground_back,survey_irrigation_inground_timer,0.731,0.535,Yes,0,5574
survey_dishwasher,Q5year,0.725,0.525,Yes,0,5438
survey_irrigation_inground,Survey_Irrigation_InGround_Front_Automatic,0.721,0.52,Yes,0,5574
survey_clothes_washer_top,Q4no,-0.72,0.518,Yes,0,5535
survey_irrigation_inground,Survey_Irrigation_InGround_Back_Automatic,0.72,0.518,Yes,0,5574
survey_well,survey_has_alternative_source,-0.717,0.514,Yes,0,305
survey_irrigation_inground_front,Survey_Irrigation_InGround_Front_Automatic,0.715,0.511,Yes,0,5574
survey_number_of_toilets,survey_indoor_sqft,0.712,0.507,Yes,0,4979
survey_number_of_bathroom_sinks,survey_indoor_sqft,0.711,0.506,Yes,0,4952
IndoorGPD,StandardizedNonseasonalresidualbyfamily,0.711,0.506,Yes,0,1187
Q5no,Q5year,-0.703,0.494,Yes,0,5574
survey_number_of_children,capita,0.691,0.477,Yes,0,5574
survey_number_of_children_winter,capita,0.688,0.473,Yes,0,5574
survey_number_of_children_summer,capita,0.684,0.468,Yes,0,5574
survey_irrigation_inground_front,survey_irrigation_inground_timer,0.684,0.467,Yes,0,5574
survey_number_of_shower_only,survey_number_of_showers,0.683,0.467,Yes,0,4724
survey_water_feature_outdoor_fountain,survey_water_feature_outdoor,0.683,0.466,Yes,0,5574
survey_number_of_toilets,survey_home_value,0.68,0.463,Yes,0,4731
