var1,var2,Pearson coefficient (r),r-squared,Significance,p-value,Support (n)
survey_adults_employed,survey_aquarium,-0.002,0.000,No,0.894,5465
survey_adults_employed,survey_canal_ditch,0.043,0.002,No,0.454,301
survey_adults_employed,survey_car_washed_less_often,0.038,0.001,Yes,0.005,5465
survey_adults_employed,survey_cistern,0.037,0.001,No,0.522,301
survey_adults_employed,survey_clothes_washer,0.032,0.001,Yes,0.017,5443
survey_adults_employed,survey_clothes_washer_front,0.017,0.000,No,0.227,4800
survey_adults_employed,survey_clothes_washer_top,0.012,0.000,No,0.396,5430
survey_adults_employed,survey_clothes_washer_used_less,-0.033,0.001,Yes,0.014,5465
survey_adults_employed,survey_conservation,0.025,0.001,No,0.068,5224
survey_adults_employed,survey_conservation_shower_short,-0.006,0.000,No,0.652,5465
survey_adults_employed,survey_dishwasher,0.076,0.006,Yes,0.000,5338
survey_adults_employed,survey_dishwasher_used_less,0.034,0.001,Yes,0.013,5465
survey_adults_employed,survey_disposal,0.022,0.000,No,0.102,5364
survey_adults_employed,survey_disposal_used_less,-0.062,0.004,Yes,0.000,5465
survey_adults_employed,survey_evap_cooler,0.027,0.001,No,0.059,5021
survey_adults_employed,survey_faucet_drips_repaired,0.016,0.000,No,0.231,5465
survey_adults_employed,survey_floors,0.086,0.007,Yes,0.000,5420
survey_adults_employed,survey_garden_flower,-0.027,0.001,Yes,0.047,5286
survey_adults_employed,survey_garden_veggie,0.012,0.000,No,0.401,5134
survey_adults_employed,survey_gray_water_last_few,-0.022,0.000,No,0.105,5465
survey_adults_employed,survey_greenhouse,-0.036,0.001,Yes,0.009,5052
survey_adults_employed,survey_has_alternative_source,0.044,0.002,No,0.446,301
survey_adults_employed,survey_has_apartment,0.049,0.002,Yes,0.000,5392
survey_adults_employed,survey_has_been_audited,-0.021,0.000,No,0.116,5465
survey_adults_employed,survey_hot_tub,0.075,0.006,Yes,0.000,5048
survey_adults_employed,survey_hot_water_solar,-0.012,0.000,No,0.385,5465
survey_adults_employed,survey_hot_water_tankless,-0.001,0.000,No,0.926,5465
survey_adults_employed,survey_household_pays,0.036,0.001,Yes,0.009,5425
survey_adults_employed,survey_humidifier,-0.007,0.000,No,0.613,5465
survey_adults_employed,survey_ice_maker,0.016,0.000,No,0.243,5465
survey_adults_employed,survey_irrigation,0.023,0.001,No,0.088,5465
survey_adults_employed,survey_irrigation_avoid_heat,0.103,0.011,Yes,0.000,5465
survey_adults_employed,survey_irrigation_efficient_system_installed,0.018,0.000,No,0.173,5465
survey_adults_employed,survey_irrigation_hand,-0.012,0.000,No,0.379,5465
survey_adults_employed,survey_irrigation_HOA,-0.022,0.000,No,0.101,5465
survey_adults_employed,survey_irrigation_hose_sprinkler,0.038,0.001,Yes,0.005,5465
survey_adults_employed,survey_irrigation_inground,0.016,0.000,No,0.234,5465
survey_adults_employed,survey_irrigation_inground_back,0.018,0.000,No,0.183,5465
survey_adults_employed,Survey_Irrigation_InGround_Back_Automatic,0.005,0.000,No,0.708,5465
survey_adults_employed,survey_irrigation_inground_cycle,0.005,0.000,No,0.713,5465
survey_adults_employed,survey_irrigation_inground_drip,0.020,0.000,No,0.149,5465
survey_adults_employed,survey_irrigation_inground_front,0.012,0.000,No,0.395,5465
