var1,var2,Pearson coefficient (r),r-squared,Significance,p-value,Support (n)
Inwhatyeardidyoumovetothishome,survey_years_in_home,-1,1,Yes,0,1491
survey_year_built,survey_age_of_home,-1,1,Yes,0,1493
NormalizedSeasonal,StandardizedSeasonalresidualbyfamily,0.992,0.984,Yes,0,1124
Log_AnnualKgal_Bin,NormalizedAnnual,0.951,0.905,Yes,0,3935
NormalizedAnnual,StandardizedAnnualresidualbyfamily,0.93,0.865,Yes,0,1493
survey_irrigation_inground,survey_irrigation_inground_timer,0.909,0.826,Yes,0,1143
Log_AnnualKgal_Bin,StandardizedAnnualresidualbyfamily,0.882,0.779,Yes,0,1493
NormalizedNonseasonal,StandardizedNonseasonalresidualbyfamily,0.858,0.736,Yes,0,1161
survey_hot_water_gas,survey_hot_water_electric,-0.853,0.727,Yes,0,1539
survey_number_of_bathtub_showers,survey_number_of_bathtubs,0.802,0.644,Yes,0,1478
PctSeasonal,StandardizedSeasonalresidualbyfamily,0.782,0.612,Yes,0,1124
StandardizedAnnualresidualbyfamily,StandardizedSeasonalresidualbyfamily,0.764,0.584,Yes,0,1124
survey_pool_cover,survey_pool_cover_overnight,0.759,0.576,Yes,0,209
NormalizedSeasonal,StandardizedAnnualresidualbyfamily,0.757,0.574,Yes,0,1124
survey_irrigation,survey_landscape_trees_and_shrubs,0.746,0.557,Yes,0,1502
PctSeasonal,NormalizedSeasonal,0.735,0.54,Yes,0,2793
survey_irrigation,survey_landscape_turf,0.73,0.532,Yes,0,1502
NormalizedAnnual,NormalizedSeasonal,0.729,0.532,Yes,0,2793
survey_number_of_toilets,survey_number_of_showers,0.726,0.527,Yes,0,1503
survey_program_participation_3,survey_followed_guidelines,0.725,0.526,Yes,0,1513
survey_landscape_turf,survey_landscape_trees_and_shrubs,0.723,0.522,Yes,0,1539
Adultsincludingyouage18,TotalPersonsinHousehold,0.708,0.502,Yes,0,1493
NormalizedAnnual,StandardizedSeasonalresidualbyfamily,0.709,0.502,Yes,0,1124
survey_leak_irrigation_repaired,survey_irrigation_inground_monitor,0.698,0.488,Yes,0,1539
Log_AnnualKgal_Bin,NormalizedSeasonal,0.696,0.485,Yes,0,2793
Log_AnnualKgal_Bin,StandardizedSeasonalresidualbyfamily,0.672,0.452,Yes,0,1124
survey_conservation_last_few,survey_irrigation_avoid_heat,0.672,0.452,Yes,0,1452
SurveyID,survey_pool_cover,-0.659,0.434,Yes,0,209
