var1,var2,Pearson coefficient (r),r-squared,Significance,p-value,Support (n)
AnnualKgal,TotalPersonsinHousehold,0.164,0.027,Yes,0.000,1493
AnnualKgal,PctSeasonal,0.344,0.118,Yes,0.000,2925
AnnualKgal,PremiseYear,0.068,0.005,Yes,0.032,1010
AnnualKgal,SeasonalKgal,0.852,0.727,Yes,0.000,2925
AnnualKgal,survey_age_of_home,-0.089,0.008,Yes,0.001,1493
AnnualKgal,survey_income,0.367,0.135,Yes,0.000,1329
AnnualKgal,survey_other_sources_pct,0.034,0.001,No,0.753,89
AnnualKgal,survey_year,0.000,0.000,No,1.000,1539
AnnualKgal,survey_year_built,0.089,0.008,Yes,0.001,1493
AnnualKgal,survey_years_in_home,-0.006,0.000,No,0.814,1491
AnnualKgal,SurveyID,0.368,0.136,Yes,0.000,3937
AnnualKgal,reuws2_attitude_A,0.012,0.000,No,0.638,1485
AnnualKgal,reuws2_attitude_B,0.028,0.001,No,0.278,1482
AnnualKgal,reuws2_attitude_C,0.010,0.000,No,0.699,1471
AnnualKgal,reuws2_attitude_D,-0.065,0.004,Yes,0.012,1492
AnnualKgal,reuws2_attitude_E,-0.093,0.009,Yes,0.000,1481
AnnualKgal,reuws2_attitude_F,-0.084,0.007,Yes,0.001,1512
AnnualKgal,reuws2_attitude_G,-0.087,0.008,Yes,0.001,1504
AnnualKgal,reuws2_attitude_H,-0.112,0.012,Yes,0.000,1443
AnnualKgal,reuws2_attitude_I,-0.033,0.001,No,0.207,1441
AnnualKgal,reuws2_attitude_J,-0.103,0.011,Yes,0.000,1471
AnnualKgal,reuws2_attitude_K,-0.017,0.000,No,0.505,1479
AnnualKgal,reuws2_attitude_L,0.027,0.001,No,0.300,1468
AnnualKgal,reuws2_attitude_M,-0.072,0.005,Yes,0.005,1498
AnnualKgal,reuws2_attitude_N,-0.124,0.015,Yes,0.000,1491
AnnualKgal,reuws2_attitude_O,-0.026,0.001,No,0.317,1495
AnnualKgal,reuws2_attitude_P,-0.114,0.013,Yes,0.000,1484
AnnualKgal,reuws2_attitude_Q,-0.079,0.006,Yes,0.002,1478
AnnualKgal,reuws2_attitude_R,-0.113,0.013,Yes,0.000,1481
AnnualKgal,reuws2_attitude_S,-0.031,0.001,No,0.230,1482
AnnualKgal,survey_car_washed,-0.090,0.008,Yes,0.000,1514
AnnualKgal,survey_drought,-0.072,0.005,Yes,0.005,1496
AnnualKgal,survey_highest_grade,0.148,0.022,Yes,0.000,1504
AnnualKgal,survey_hot_water_wait_bother,0.029,0.001,No,0.281,1362
AnnualKgal,survey_hot_water_waiting,0.084,0.007,Yes,0.002,1341
AnnualKgal,survey_landscaper,0.198,0.039,Yes,0.000,1137
AnnualKgal,survey_manual_irrigation_pct,-0.277,0.077,Yes,0.000,1143
AnnualKgal,survey_spa_or_hot_tub_outdoor_filled,0.112,0.012,No,0.145,172
AnnualKgal,survey_walk_washed,0.032,0.001,No,0.217,1477
AnnualKgal,RandomSequence,-0.017,0.000,No,0.294,3937
AnnualKgal,DOMEMBERSOFYOURHOUSEHOLDDRINKWATERFROMYOURTAPORDOYOU,0.063,0.004,No,0.233,363
AnnualKgal,Isyourtapwaterclearandfreeofdiscoloration,0.086,0.007,No,0.104,361
AnnualKgal,HOWWOULDYOURANKYOURDIRECTCUSTOMERSERVICEEXPERIENCEWITH,-0.061,0.004,No,0.249,360
AnnualKgal,DOYOUTRUSTTHATTHETAPWATERDELIVEREDTOYOURHOMEISSAFET,0.031,0.001,No,0.559,365
AnnualKgal,DOYOUTHINKYOURWATERUTILITYDOESTHERIGHTAMOUNTOFWATERC,0.106,0.011,Yes,0.023,461
AnnualKgal,Ifyouhavealawndoyouoverseedforatemporarywinterlawn,-0.172,0.030,Yes,0.009,228
AnnualKgal,WHATTERMWOULDYOUPREFERTOUSEWHENDESCRIBINGALANDSCAPEAP,-0.071,0.005,No,0.199,334
AnnualKgal,Wheredoyouthinkhomeownersusethemostwater,0.097,0.009,No,0.073,344
AnnualKgal,survey_adults_employed,0.021,0.000,No,0.415,1511
AnnualKgal,survey_aquarium,0.036,0.001,No,0.169,1442
AnnualKgal,survey_audit_last_few,0.074,0.005,Yes,0.004,1539
AnnualKgal,survey_baths_per_week,-0.052,0.003,Yes,0.045,1513
AnnualKgal,survey_canal_ditch,-0.034,0.001,No,0.184,1539
AnnualKgal,survey_car_washed_less_often,-0.043,0.002,No,0.090,1539
AnnualKgal,survey_clothes_washer_HE,0.090,0.008,Yes,0.001,1473
AnnualKgal,survey_clothes_washer_used_less,-0.004,0.000,No,0.883,1539
AnnualKgal,survey_conservation_last_few,0.056,0.003,Yes,0.032,1452
AnnualKgal,survey_conservation_shower_short,-0.044,0.002,No,0.081,1539
AnnualKgal,survey_dishwasher,0.136,0.018,Yes,0.000,1521
AnnualKgal,survey_dishwasher_used_less,0.041,0.002,No,0.107,1539
AnnualKgal,survey_disposal,0.255,0.065,Yes,0.000,1515
AnnualKgal,survey_disposal_used_less,0.031,0.001,No,0.226,1539
AnnualKgal,survey_evap_cooler,0.056,0.003,Yes,0.034,1435
AnnualKgal,survey_faucet_drips,-0.019,0.000,No,0.448,1539
AnnualKgal,survey_faucet_drips_repaired,0.063,0.004,Yes,0.013,1539
AnnualKgal,survey_followed_guidelines,0.018,0.000,No,0.483,1539
AnnualKgal,survey_garden_flower,0.123,0.015,Yes,0.000,1539
AnnualKgal,survey_garden_veggie,0.070,0.005,Yes,0.006,1539
AnnualKgal,survey_giveaway_3,-0.028,0.001,No,0.275,1539
AnnualKgal,survey_gray_water,-0.015,0.000,No,0.557,1539
AnnualKgal,survey_gray_water_last_few,-0.052,0.003,Yes,0.042,1539
AnnualKgal,survey_greenhouse_indoor,0.063,0.004,Yes,0.016,1438
AnnualKgal,survey_homies,0.132,0.017,Yes,0.000,1505
AnnualKgal,survey_hot_water_electric,0.054,0.003,Yes,0.033,1539
AnnualKgal,survey_hot_water_gas,-0.045,0.002,No,0.076,1539
AnnualKgal,survey_hot_water_on_demand,0.210,0.044,Yes,0.000,1407
AnnualKgal,survey_hot_water_propane,-0.027,0.001,No,0.298,1539
AnnualKgal,survey_hot_water_solar,0.032,0.001,No,0.211,1539
AnnualKgal,survey_hot_water_tankless,-0.012,0.000,No,0.651,1424
AnnualKgal,survey_hot_water_wait,-0.009,0.000,No,0.732,1497
AnnualKgal,survey_hot_water_wait_kitchen,-0.089,0.008,Yes,0.000,1539
AnnualKgal,survey_hot_water_wait_master_bath,0.064,0.004,Yes,0.012,1539
AnnualKgal,survey_hot_water_wait_other_bath,0.045,0.002,No,0.075,1539
AnnualKgal,survey_hot_water_wait_other_room,0.012,0.000,No,0.643,1539
AnnualKgal,survey_household_pays,0.013,0.000,No,0.610,1521
AnnualKgal,survey_humidifier,0.078,0.006,Yes,0.003,1443
AnnualKgal,survey_ice_maker,0.171,0.029,Yes,0.000,1497
AnnualKgal,survey_irrigation,0.330,0.109,Yes,0.000,1502
AnnualKgal,survey_irrigation_avoid_heat,0.071,0.005,Yes,0.005,1539
AnnualKgal,survey_irrigation_inground,0.328,0.108,Yes,0.000,1143
AnnualKgal,survey_irrigation_inground_bfp,0.243,0.059,Yes,0.000,1539
AnnualKgal,survey_irrigation_inground_cycle,0.063,0.004,Yes,0.013,1539
AnnualKgal,survey_irrigation_inground_drip,0.286,0.082,Yes,0.000,1539
AnnualKgal,survey_irrigation_inground_master,0.256,0.066,Yes,0.000,1539
AnnualKgal,survey_irrigation_inground_monitor,0.272,0.074,Yes,0.000,1539
AnnualKgal,survey_irrigation_inground_timer,0.425,0.180,Yes,0.000,1539
AnnualKgal,survey_irrigation_inground_timer_adjusted,-0.012,0.000,No,0.749,727
AnnualKgal,survey_irrigation_inground_wbic,0.091,0.008,Yes,0.000,1539
AnnualKgal,survey_irrigation_less_often,0.034,0.001,No,0.186,1539
AnnualKgal,survey_irrigation_manual_override,0.247,0.061,Yes,0.000,1539
AnnualKgal,survey_irrigation_sensor_rain,0.060,0.004,Yes,0.019,1539
AnnualKgal,survey_irrigation_sensor_soil,0.007,0.000,No,0.770,1539
AnnualKgal,survey_irrigation_timer_shortened_last_few,0.260,0.068,Yes,0.000,1539
AnnualKgal,survey_landscape_low_water,0.233,0.054,Yes,0.000,1539
AnnualKgal,survey_landscape_low_water_last_few,0.115,0.013,Yes,0.000,1539
AnnualKgal,survey_landscape_no_maintenance,-0.061,0.004,Yes,0.041,1137
AnnualKgal,survey_landscape_nonirrigated,0.209,0.044,Yes,0.000,1539
AnnualKgal,survey_landscape_rebate_3,0.044,0.002,No,0.087,1539
AnnualKgal,survey_landscape_trees_and_shrubs,0.276,0.076,Yes,0.000,1539
AnnualKgal,survey_landscape_turf,0.238,0.056,Yes,0.000,1539
AnnualKgal,survey_landscaper_waters,0.055,0.003,No,0.293,368
AnnualKgal,survey_leak_irrigation,0.183,0.033,Yes,0.000,1539
AnnualKgal,survey_leak_irrigation_repaired,0.288,0.083,Yes,0.000,1539
AnnualKgal,survey_leak_other,-0.033,0.001,No,0.196,1539
AnnualKgal,survey_leak_pool,0.087,0.008,Yes,0.001,1539
AnnualKgal,survey_leak_toilet,0.004,0.000,No,0.883,1539
AnnualKgal,Adultsincludingyouage18,0.183,0.033,Yes,0.000,1493
AnnualKgal,survey_number_of_bathtub_only,0.001,0.000,No,0.982,993
AnnualKgal,survey_number_of_bathtub_showers,0.008,0.000,No,0.760,1478
AnnualKgal,survey_number_of_bathtubs,-0.010,0.000,No,0.695,1498
AnnualKgal,Howmanybedroomsdoesthishousehave,0.270,0.073,Yes,0.000,1523
AnnualKgal,Childrenage312,0.064,0.004,Yes,0.014,1493
AnnualKgal,InfantsorToddlersunderage3,-0.018,0.000,No,0.494,1493
AnnualKgal,survey_number_of_shower_only,0.304,0.092,Yes,0.000,1317
AnnualKgal,survey_number_of_showers,0.298,0.089,Yes,0.000,1515
AnnualKgal,survey_number_of_showers_hydra,0.125,0.016,Yes,0.000,1445
AnnualKgal,survey_number_of_showers_rain,0.145,0.021,Yes,0.000,1348
AnnualKgal,survey_number_of_showers_spray,-0.026,0.001,No,0.338,1394
AnnualKgal,Teenagersage1317,0.073,0.005,Yes,0.005,1493
AnnualKgal,survey_number_of_toilets,0.373,0.139,Yes,0.000,1519
AnnualKgal,survey_number_of_toilets_16,0.161,0.026,Yes,0.000,829
AnnualKgal,survey_number_of_toilets_dual,0.181,0.033,Yes,0.000,510
AnnualKgal,survey_number_of_toilets_GT16,0.078,0.006,Yes,0.020,889
AnnualKgal,survey_number_of_toilets_HET,0.127,0.016,Yes,0.001,640
AnnualKgal,survey_number_of_utility_sink,0.257,0.066,Yes,0.000,1095
AnnualKgal,survey_number_of_whirlpools,0.297,0.088,Yes,0.000,968
AnnualKgal,survey_other_features,0.036,0.001,No,0.175,1398
AnnualKgal,survey_participant,-0.014,0.000,No,0.586,1539
AnnualKgal,survey_pets,0.097,0.009,Yes,0.000,1471
AnnualKgal,survey_pool,0.374,0.140,Yes,0.000,1394
AnnualKgal,survey_pool_cover,-0.102,0.010,No,0.142,209
AnnualKgal,survey_pool_cover_chemical,0.000,0.000,No,1.000,209
AnnualKgal,survey_pool_cover_overnight,-0.138,0.019,Yes,0.046,209
AnnualKgal,survey_pool_fill_automatic,0.174,0.030,Yes,0.012,207
AnnualKgal,survey_program_participation_3,0.018,0.000,No,0.488,1513
AnnualKgal,survey_rain_barrel,-0.010,0.000,No,0.706,1539
AnnualKgal,survey_rain_barrel_last_few,-0.027,0.001,No,0.295,1539
AnnualKgal,survey_renter,-0.050,0.003,No,0.050,1518
AnnualKgal,survey_replaced_clothes_washer_10,0.095,0.009,Yes,0.000,1486
AnnualKgal,survey_replaced_clothes_washer_HE,0.076,0.006,Yes,0.003,1539
AnnualKgal,survey_replaced_dishwasher_10,0.149,0.022,Yes,0.000,1457
AnnualKgal,survey_replaced_dishwasher_HE,0.135,0.018,Yes,0.000,1539
AnnualKgal,survey_replaced_showerheads_10,0.100,0.010,Yes,0.000,1485
AnnualKgal,survey_replaced_showerheads_LF,0.026,0.001,No,0.303,1539
AnnualKgal,survey_replaced_toilets_10,0.053,0.003,Yes,0.042,1467
AnnualKgal,survey_replaced_toilets_last_few,0.001,0.000,No,0.982,1539
AnnualKgal,survey_retrofit_rebate_3,0.030,0.001,No,0.245,1539
AnnualKgal,survey_roof_direction,0.002,0.000,No,0.930,1539
AnnualKgal,survey_shower_bucket,-0.064,0.004,Yes,0.012,1539
AnnualKgal,survey_showers_not_at_home,0.033,0.001,No,0.201,1514
AnnualKgal,survey_spa_indoor,0.125,0.016,Yes,0.000,1442
AnnualKgal,survey_spa_or_hot_tub_outdoor,0.226,0.051,Yes,0.000,1521
AnnualKgal,survey_stream,-0.028,0.001,No,0.276,1539
AnnualKgal,survey_toilet_inserts,-0.040,0.002,No,0.117,1539
AnnualKgal,survey_treatment,0.310,0.096,Yes,0.000,1448
AnnualKgal,survey_water_feature_indoor,0.184,0.034,Yes,0.000,1443
AnnualKgal,survey_water_feature_outdoor,0.340,0.115,Yes,0.000,170
AnnualKgal,survey_well,0.022,0.000,No,0.389,1539
TotalPersonsinHousehold,PctSeasonal,-0.160,0.026,Yes,0.000,1161
TotalPersonsinHousehold,PremiseYear,0.079,0.006,No,0.151,332
TotalPersonsinHousehold,SeasonalKgal,0.053,0.003,No,0.074,1161
TotalPersonsinHousehold,survey_age_of_home,-0.102,0.010,Yes,0.000,1460
TotalPersonsinHousehold,survey_income,0.114,0.013,Yes,0.000,1306
TotalPersonsinHousehold,survey_other_sources_pct,-0.102,0.010,No,0.350,86
TotalPersonsinHousehold,survey_year,0.000,0.000,No,1.000,1493
TotalPersonsinHousehold,survey_year_built,0.102,0.010,Yes,0.000,1460
TotalPersonsinHousehold,survey_years_in_home,-0.179,0.032,Yes,0.000,1461
TotalPersonsinHousehold,SurveyID,-0.087,0.008,Yes,0.001,1493
TotalPersonsinHousehold,reuws2_attitude_A,0.004,0.000,No,0.866,1447
TotalPersonsinHousehold,reuws2_attitude_B,0.143,0.021,Yes,0.000,1443
TotalPersonsinHousehold,reuws2_attitude_C,0.107,0.011,Yes,0.000,1434
TotalPersonsinHousehold,reuws2_attitude_D,-0.056,0.003,Yes,0.033,1452
TotalPersonsinHousehold,reuws2_attitude_E,-0.061,0.004,Yes,0.021,1443
TotalPersonsinHousehold,reuws2_attitude_F,0.037,0.001,No,0.159,1472
TotalPersonsinHousehold,reuws2_attitude_G,0.055,0.003,Yes,0.034,1465
TotalPersonsinHousehold,reuws2_attitude_H,0.050,0.002,No,0.062,1404
TotalPersonsinHousehold,reuws2_attitude_I,-0.017,0.000,No,0.531,1407
TotalPersonsinHousehold,reuws2_attitude_J,-0.089,0.008,Yes,0.001,1433
TotalPersonsinHousehold,reuws2_attitude_K,-0.038,0.001,No,0.144,1445
TotalPersonsinHousehold,reuws2_attitude_L,-0.005,0.000,No,0.848,1429
TotalPersonsinHousehold,reuws2_attitude_M,0.048,0.002,No,0.066,1460
TotalPersonsinHousehold,reuws2_attitude_N,0.003,0.000,No,0.914,1453
TotalPersonsinHousehold,reuws2_attitude_O,-0.042,0.002,No,0.106,1458
TotalPersonsinHousehold,reuws2_attitude_P,-0.111,0.012,Yes,0.000,1447
TotalPersonsinHousehold,reuws2_attitude_Q,0.019,0.000,No,0.470,1442
TotalPersonsinHousehold,reuws2_attitude_R,0.033,0.001,No,0.210,1444
TotalPersonsinHousehold,reuws2_attitude_S,0.013,0.000,No,0.614,1446
TotalPersonsinHousehold,survey_car_washed,0.034,0.001,No,0.189,1474
TotalPersonsinHousehold,survey_drought,0.029,0.001,No,0.266,1456
TotalPersonsinHousehold,survey_highest_grade,0.044,0.002,No,0.091,1474
TotalPersonsinHousehold,survey_hot_water_wait_bother,0.028,0.001,No,0.305,1326
TotalPersonsinHousehold,survey_hot_water_waiting,-0.022,0.000,No,0.424,1303
TotalPersonsinHousehold,survey_landscaper,-0.146,0.021,Yes,0.000,1114
TotalPersonsinHousehold,survey_manual_irrigation_pct,0.000,0.000,No,0.993,1120
TotalPersonsinHousehold,survey_spa_or_hot_tub_outdoor_filled,0.014,0.000,No,0.858,165
TotalPersonsinHousehold,survey_walk_washed,-0.032,0.001,No,0.219,1438
TotalPersonsinHousehold,RandomSequence,0.020,0.000,No,0.447,1493
TotalPersonsinHousehold,DOMEMBERSOFYOURHOUSEHOLDDRINKWATERFROMYOURTAPORDOYOU,0.179,0.032,Yes,0.001,350
TotalPersonsinHousehold,Isyourtapwaterclearandfreeofdiscoloration,0.082,0.007,No,0.127,347
TotalPersonsinHousehold,HOWWOULDYOURANKYOURDIRECTCUSTOMERSERVICEEXPERIENCEWITH,-0.034,0.001,No,0.524,347
TotalPersonsinHousehold,DOYOUTRUSTTHATTHETAPWATERDELIVEREDTOYOURHOMEISSAFET,0.061,0.004,No,0.254,351
TotalPersonsinHousehold,DOYOUTHINKYOURWATERUTILITYDOESTHERIGHTAMOUNTOFWATERC,0.004,0.000,No,0.937,452
TotalPersonsinHousehold,Ifyouhavealawndoyouoverseedforatemporarywinterlawn,-0.094,0.009,No,0.162,221
TotalPersonsinHousehold,WHATTERMWOULDYOUPREFERTOUSEWHENDESCRIBINGALANDSCAPEAP,-0.059,0.004,No,0.289,322
TotalPersonsinHousehold,Wheredoyouthinkhomeownersusethemostwater,-0.006,0.000,No,0.914,331
TotalPersonsinHousehold,survey_adults_employed,0.437,0.191,Yes,0.000,1483
TotalPersonsinHousehold,survey_aquarium,0.090,0.008,Yes,0.001,1403
TotalPersonsinHousehold,survey_audit_last_few,-0.021,0.000,No,0.414,1493
TotalPersonsinHousehold,survey_baths_per_week,0.194,0.038,Yes,0.000,1480
TotalPersonsinHousehold,survey_canal_ditch,-0.027,0.001,No,0.297,1493
TotalPersonsinHousehold,survey_car_washed_less_often,0.019,0.000,No,0.456,1493
TotalPersonsinHousehold,survey_clothes_washer_HE,0.051,0.003,No,0.052,1433
TotalPersonsinHousehold,survey_clothes_washer_used_less,-0.011,0.000,No,0.678,1493
TotalPersonsinHousehold,survey_conservation_last_few,0.010,0.000,No,0.705,1413
TotalPersonsinHousehold,survey_conservation_shower_short,0.036,0.001,No,0.164,1493
TotalPersonsinHousehold,survey_dishwasher,0.015,0.000,No,0.557,1480
TotalPersonsinHousehold,survey_dishwasher_used_less,-0.044,0.002,No,0.089,1493
TotalPersonsinHousehold,survey_disposal,-0.040,0.002,No,0.129,1474
TotalPersonsinHousehold,survey_disposal_used_less,-0.084,0.007,Yes,0.001,1493
TotalPersonsinHousehold,survey_evap_cooler,-0.007,0.000,No,0.790,1398
TotalPersonsinHousehold,survey_faucet_drips,0.026,0.001,No,0.307,1493
TotalPersonsinHousehold,survey_faucet_drips_repaired,0.030,0.001,No,0.240,1493
TotalPersonsinHousehold,survey_followed_guidelines,0.001,0.000,No,0.972,1493
TotalPersonsinHousehold,survey_garden_flower,-0.005,0.000,No,0.842,1493
TotalPersonsinHousehold,survey_garden_veggie,0.040,0.002,No,0.123,1493
TotalPersonsinHousehold,survey_giveaway_3,0.036,0.001,No,0.160,1493
TotalPersonsinHousehold,survey_gray_water,0.004,0.000,No,0.884,1493
TotalPersonsinHousehold,survey_gray_water_last_few,0.019,0.000,No,0.458,1493
TotalPersonsinHousehold,survey_greenhouse_indoor,-0.015,0.000,No,0.565,1400
TotalPersonsinHousehold,survey_homies,0.169,0.029,Yes,0.000,1479
TotalPersonsinHousehold,survey_hot_water_electric,-0.012,0.000,No,0.652,1493
TotalPersonsinHousehold,survey_hot_water_gas,0.007,0.000,No,0.788,1493
TotalPersonsinHousehold,survey_hot_water_on_demand,-0.027,0.001,No,0.321,1370
TotalPersonsinHousehold,survey_hot_water_propane,0.002,0.000,No,0.937,1493
TotalPersonsinHousehold,survey_hot_water_solar,-0.007,0.000,No,0.776,1493
TotalPersonsinHousehold,survey_hot_water_tankless,0.027,0.001,No,0.316,1386
TotalPersonsinHousehold,survey_hot_water_wait,0.011,0.000,No,0.678,1455
TotalPersonsinHousehold,survey_hot_water_wait_kitchen,-0.092,0.009,Yes,0.000,1493
TotalPersonsinHousehold,survey_hot_water_wait_master_bath,0.066,0.004,Yes,0.011,1493
TotalPersonsinHousehold,survey_hot_water_wait_other_bath,0.015,0.000,No,0.564,1493
TotalPersonsinHousehold,survey_hot_water_wait_other_room,-0.017,0.000,No,0.508,1493
TotalPersonsinHousehold,survey_household_pays,0.029,0.001,No,0.262,1486
TotalPersonsinHousehold,survey_humidifier,0.050,0.002,No,0.062,1404
TotalPersonsinHousehold,survey_ice_maker,0.042,0.002,No,0.107,1457
TotalPersonsinHousehold,survey_irrigation,-0.050,0.003,No,0.055,1461
TotalPersonsinHousehold,survey_irrigation_avoid_heat,-0.018,0.000,No,0.497,1493
TotalPersonsinHousehold,survey_irrigation_inground,0.008,0.000,No,0.795,1120
TotalPersonsinHousehold,survey_irrigation_inground_bfp,-0.003,0.000,No,0.916,1493
TotalPersonsinHousehold,survey_irrigation_inground_cycle,0.021,0.000,No,0.408,1493
TotalPersonsinHousehold,survey_irrigation_inground_drip,-0.012,0.000,No,0.638,1493
TotalPersonsinHousehold,survey_irrigation_inground_master,0.004,0.000,No,0.878,1493
TotalPersonsinHousehold,survey_irrigation_inground_monitor,-0.027,0.001,No,0.293,1493
TotalPersonsinHousehold,survey_irrigation_inground_timer,-0.017,0.000,No,0.502,1493
TotalPersonsinHousehold,survey_irrigation_inground_timer_adjusted,0.078,0.006,Yes,0.038,713
TotalPersonsinHousehold,survey_irrigation_inground_wbic,-0.021,0.000,No,0.411,1493
TotalPersonsinHousehold,survey_irrigation_less_often,0.007,0.000,No,0.774,1493
TotalPersonsinHousehold,survey_irrigation_manual_override,0.011,0.000,No,0.673,1493
TotalPersonsinHousehold,survey_irrigation_sensor_rain,-0.041,0.002,No,0.110,1493
TotalPersonsinHousehold,survey_irrigation_sensor_soil,-0.016,0.000,No,0.546,1493
TotalPersonsinHousehold,survey_irrigation_timer_shortened_last_few,-0.002,0.000,No,0.953,1493
TotalPersonsinHousehold,survey_landscape_low_water,-0.007,0.000,No,0.796,1493
TotalPersonsinHousehold,survey_landscape_low_water_last_few,-0.019,0.000,No,0.461,1493
TotalPersonsinHousehold,survey_landscape_no_maintenance,0.020,0.000,No,0.497,1114
TotalPersonsinHousehold,survey_landscape_nonirrigated,0.031,0.001,No,0.236,1493
TotalPersonsinHousehold,survey_landscape_rebate_3,0.039,0.002,No,0.135,1493
TotalPersonsinHousehold,survey_landscape_trees_and_shrubs,-0.030,0.001,No,0.240,1493
TotalPersonsinHousehold,survey_landscape_turf,0.001,0.000,No,0.959,1493
TotalPersonsinHousehold,survey_landscaper_waters,-0.149,0.022,Yes,0.005,359
TotalPersonsinHousehold,survey_leak_irrigation,0.025,0.001,No,0.330,1493
TotalPersonsinHousehold,survey_leak_irrigation_repaired,0.011,0.000,No,0.657,1493
TotalPersonsinHousehold,survey_leak_other,0.032,0.001,No,0.217,1493
TotalPersonsinHousehold,survey_leak_pool,0.028,0.001,No,0.277,1493
TotalPersonsinHousehold,survey_leak_toilet,0.089,0.008,Yes,0.001,1493
TotalPersonsinHousehold,Adultsincludingyouage18,0.708,0.502,Yes,0.000,1493
TotalPersonsinHousehold,survey_number_of_bathtub_only,0.008,0.000,No,0.799,967
TotalPersonsinHousehold,survey_number_of_bathtub_showers,0.087,0.008,Yes,0.001,1440
TotalPersonsinHousehold,survey_number_of_bathtubs,0.095,0.009,Yes,0.000,1458
TotalPersonsinHousehold,Howmanybedroomsdoesthishousehave,0.322,0.103,Yes,0.000,1489
TotalPersonsinHousehold,Childrenage312,0.639,0.409,Yes,0.000,1493
TotalPersonsinHousehold,InfantsorToddlersunderage3,0.363,0.132,Yes,0.000,1493
TotalPersonsinHousehold,survey_number_of_shower_only,0.071,0.005,Yes,0.011,1284
TotalPersonsinHousehold,survey_number_of_showers,0.178,0.032,Yes,0.000,1474
TotalPersonsinHousehold,survey_number_of_showers_hydra,0.087,0.008,Yes,0.001,1409
TotalPersonsinHousehold,survey_number_of_showers_rain,0.023,0.001,No,0.413,1315
TotalPersonsinHousehold,survey_number_of_showers_spray,-0.009,0.000,No,0.749,1360
TotalPersonsinHousehold,Teenagersage1317,0.496,0.246,Yes,0.000,1493
TotalPersonsinHousehold,survey_number_of_toilets,0.216,0.046,Yes,0.000,1476
TotalPersonsinHousehold,survey_number_of_toilets_16,0.051,0.003,No,0.146,811
TotalPersonsinHousehold,survey_number_of_toilets_dual,0.012,0.000,No,0.781,500
TotalPersonsinHousehold,survey_number_of_toilets_GT16,0.021,0.000,No,0.537,864
TotalPersonsinHousehold,survey_number_of_toilets_HET,0.075,0.006,No,0.060,628
TotalPersonsinHousehold,survey_number_of_utility_sink,0.010,0.000,No,0.738,1071
TotalPersonsinHousehold,survey_number_of_whirlpools,0.063,0.004,No,0.053,948
TotalPersonsinHousehold,survey_other_features,0.006,0.000,No,0.833,1365
TotalPersonsinHousehold,survey_participant,0.019,0.000,No,0.467,1493
TotalPersonsinHousehold,survey_pets,0.118,0.014,Yes,0.000,1430
TotalPersonsinHousehold,survey_pool,0.010,0.000,No,0.715,1361
TotalPersonsinHousehold,survey_pool_cover,0.056,0.003,No,0.428,203
TotalPersonsinHousehold,survey_pool_cover_chemical,0.000,0.000,No,1.000,203
TotalPersonsinHousehold,survey_pool_cover_overnight,0.124,0.015,No,0.078,203
TotalPersonsinHousehold,survey_pool_fill_automatic,-0.082,0.007,No,0.250,201
TotalPersonsinHousehold,survey_program_participation_3,0.024,0.001,No,0.351,1472
TotalPersonsinHousehold,survey_rain_barrel,-0.051,0.003,No,0.050,1493
TotalPersonsinHousehold,survey_rain_barrel_last_few,-0.051,0.003,No,0.050,1493
TotalPersonsinHousehold,survey_renter,0.058,0.003,Yes,0.025,1486
TotalPersonsinHousehold,survey_replaced_clothes_washer_10,0.077,0.006,Yes,0.003,1446
TotalPersonsinHousehold,survey_replaced_clothes_washer_HE,0.047,0.002,No,0.070,1493
TotalPersonsinHousehold,survey_replaced_dishwasher_10,0.010,0.000,No,0.720,1420
