var1,var2,Pearson coefficient (r),r-squared,Significance,p-value,Support (n)
SurveyID,Log_AnnualKgal_Bin,0.014,0.000,No,0.367,3935
SurveyID,DOMEMBERSOFYOURHOUSEHOLDDRINKWATERFROMYOURTAPORDOYOU,0.089,0.008,No,0.090,363
SurveyID,Isyourtapwaterclearandfreeofdiscoloration,0.044,0.002,No,0.399,361
SurveyID,HOWWOULDYOURANKYOURDIRECTCUSTOMERSERVICEEXPERIENCEWITH,-0.071,0.005,No,0.178,360
SurveyID,DOYOUTRUSTTHATTHETAPWATERDELIVEREDTOYOURHOMEISSAFET,0.033,0.001,No,0.535,365
SurveyID,Howmanybedroomsdoesthishousehave,0.006,0.000,No,0.802,1523
SurveyID,Adultsincludingyouage18,-0.021,0.000,No,0.422,1493
SurveyID,Teenagersage1317,-0.058,0.003,Yes,0.025,1493
SurveyID,Childrenage312,-0.082,0.007,Yes,0.001,1493
SurveyID,InfantsorToddlersunderage3,-0.060,0.004,Yes,0.021,1493
SurveyID,IndicatorofeachfirstmatchingcaseasPrimary,0.000,0.000,No,1.000,1539
SurveyID,survey_number_of_toilets,0.165,0.027,Yes,0.000,1519
SurveyID,survey_number_of_bathtub_showers,-0.089,0.008,Yes,0.001,1478
SurveyID,survey_number_of_bathtub_only,0.009,0.000,No,0.779,993
SurveyID,survey_number_of_whirlpools,0.204,0.042,Yes,0.000,968
SurveyID,survey_number_of_shower_only,0.267,0.071,Yes,0.000,1317
SurveyID,survey_number_of_utility_sink,0.219,0.048,Yes,0.000,1095
SurveyID,survey_number_of_bathtubs,-0.083,0.007,Yes,0.001,1498
SurveyID,survey_number_of_showers,0.175,0.031,Yes,0.000,1515
SurveyID,survey_disposal,0.425,0.180,Yes,0.000,1515
SurveyID,survey_ice_maker,0.077,0.006,Yes,0.003,1497
SurveyID,survey_dishwasher,0.165,0.027,Yes,0.000,1521
SurveyID,survey_clothes_washer_HE,0.029,0.001,No,0.267,1473
SurveyID,survey_hot_water_tankless,-0.064,0.004,Yes,0.016,1424
SurveyID,survey_hot_water_on_demand,0.188,0.035,Yes,0.000,1407
SurveyID,survey_evap_cooler,0.031,0.001,No,0.240,1435
SurveyID,survey_humidifier,0.001,0.000,No,0.984,1443
SurveyID,survey_treatment,0.498,0.248,Yes,0.000,1448
SurveyID,survey_aquarium,-0.034,0.001,No,0.192,1442
SurveyID,survey_pets,0.082,0.007,Yes,0.002,1471
SurveyID,survey_spa_indoor,0.044,0.002,No,0.097,1442
SurveyID,survey_water_feature_indoor,0.076,0.006,Yes,0.004,1443
SurveyID,survey_greenhouse_indoor,-0.013,0.000,No,0.632,1438
SurveyID,survey_other_features,0.074,0.005,Yes,0.006,1398
SurveyID,survey_number_of_toilets_GT16,-0.025,0.001,No,0.462,889
SurveyID,survey_number_of_toilets_16,0.130,0.017,Yes,0.000,829
SurveyID,survey_number_of_toilets_HET,0.118,0.014,Yes,0.003,640
SurveyID,survey_number_of_toilets_dual,0.115,0.013,Yes,0.010,510
SurveyID,survey_number_of_showers_hydra,-0.004,0.000,No,0.883,1445
SurveyID,survey_number_of_showers_rain,0.064,0.004,Yes,0.018,1348
SurveyID,survey_number_of_showers_spray,-0.079,0.006,Yes,0.003,1394
SurveyID,survey_replaced_toilets_10,0.032,0.001,No,0.227,1467
SurveyID,survey_replaced_showerheads_10,0.120,0.014,Yes,0.000,1485
SurveyID,survey_replaced_clothes_washer_10,0.066,0.004,Yes,0.010,1486
SurveyID,survey_replaced_dishwasher_10,0.186,0.035,Yes,0.000,1457
SurveyID,survey_leak_toilet,-0.096,0.009,Yes,0.000,1539
SurveyID,survey_faucet_drips,-0.061,0.004,Yes,0.017,1539
SurveyID,survey_leak_pool,0.074,0.006,Yes,0.004,1539
SurveyID,survey_leak_irrigation,0.170,0.029,Yes,0.000,1539
SurveyID,survey_leak_other,-0.051,0.003,Yes,0.044,1539
SurveyID,survey_hot_water_gas,-0.192,0.037,Yes,0.000,1539
SurveyID,survey_hot_water_electric,0.202,0.041,Yes,0.000,1539
SurveyID,survey_hot_water_propane,-0.039,0.002,No,0.122,1539
SurveyID,survey_hot_water_solar,0.032,0.001,No,0.205,1539
SurveyID,survey_hot_water_wait,-0.112,0.013,Yes,0.000,1497
SurveyID,survey_hot_water_wait_kitchen,0.018,0.000,No,0.474,1539
SurveyID,survey_hot_water_wait_master_bath,0.116,0.013,Yes,0.000,1539
SurveyID,survey_hot_water_wait_other_bath,0.028,0.001,No,0.279,1539
SurveyID,survey_hot_water_wait_other_room,0.023,0.001,No,0.361,1539
SurveyID,survey_irrigation,0.462,0.213,Yes,0.000,1502
SurveyID,survey_landscape_no_maintenance,-0.036,0.001,No,0.224,1137
