City	Annual Kgal Mean	Annual Kgal StDev	Nonseasonal Kgal Mean	Nonseasonal Kgal StDev	Seasonal Kgal Mean	Seasonal Kgal Stdev
<none>	195.95	237.41	62.15	37.59	133.80	228.06
Bellevue	84.03	43.10	64.66	37.05	31.80	42.04
Boulder	132.18	71.55	54.44	27.61	73.58	50.89
Denver	160.56	95.15	62.54	31.29	104.09	88.31
Eugene	108.56	61.42	65.12	35.27	48.82	44.01
Highline	86.30	40.27	53.56	16.28	46.34	38.95
Las Virgenes	274.41	194.32	70.94	34.67	213.17	162.37
Lompoc	99.11	49.90	62.10	40.03	43.53	38.97
Los Angeles-area	198.91	123.47	76.28	39.73	114.78	82.57
Northshore	81.82	36.07	49.40	23.05	19.39	16.31
Phoenix	233.81	173.42	70.79	33.18	161.91	156.85
San Diego	137.37	86.28	55.26	27.21	99.28	93.61
Seattle	71.97	43.54	51.65	23.77	19.35	22.54
Tampa	79.18	53.43	56.05	35.11	30.51	44.24
Total	139.87	121.44	63.26	34.22	88.53	121.26
Waterloo	69.54	34.00	69.77	32.31	7.79	12.62
