var1,var2,Pearson coefficient (r),r-squared,Significance,p-value,Support (n)
survey_adults_employed,NonseasonalKgal,0.246,0.061,Yes,0.000,1171
survey_aquarium,NonseasonalKgal,0.000,0.000,No,0.997,1188
survey_canal_ditch,NonseasonalKgal,0.081,0.007,No,0.501,71
survey_car_washed_less_often,NonseasonalKgal,0.069,0.005,Yes,0.017,1188
survey_cistern,NonseasonalKgal,-0.084,0.007,No,0.484,71
survey_clothes_washer,NonseasonalKgal,0.079,0.006,Yes,0.007,1183
survey_clothes_washer_front,NonseasonalKgal,0.063,0.004,Yes,0.041,1036
survey_clothes_washer_top,NonseasonalKgal,0.033,0.001,No,0.260,1179
survey_clothes_washer_used_less,NonseasonalKgal,-0.060,0.004,Yes,0.037,1188
survey_conservation,NonseasonalKgal,-0.018,0.000,No,0.537,1126
survey_conservation_shower_short,NonseasonalKgal,0.043,0.002,No,0.135,1188
survey_dishwasher,NonseasonalKgal,0.127,0.016,Yes,0.000,1158
survey_dishwasher_used_less,NonseasonalKgal,0.041,0.002,No,0.160,1188
survey_disposal,NonseasonalKgal,0.023,0.001,No,0.423,1164
survey_disposal_used_less,NonseasonalKgal,-0.069,0.005,Yes,0.017,1188
survey_evap_cooler,NonseasonalKgal,0.063,0.004,Yes,0.037,1088
survey_faucet_drips_repaired,NonseasonalKgal,0.076,0.006,Yes,0.008,1188
survey_floors,NonseasonalKgal,0.047,0.002,No,0.106,1167
survey_garden_flower,NonseasonalKgal,0.036,0.001,No,0.221,1151
survey_garden_veggie,NonseasonalKgal,-0.036,0.001,No,0.222,1123
survey_gray_water_last_few,NonseasonalKgal,-0.051,0.003,No,0.077,1188
survey_greenhouse,NonseasonalKgal,-0.017,0.000,No,0.581,1096
survey_has_alternative_source,NonseasonalKgal,0.123,0.015,No,0.308,71
survey_has_apartment,NonseasonalKgal,0.053,0.003,No,0.070,1172
survey_has_been_audited,NonseasonalKgal,0.004,0.000,No,0.899,1188
survey_hot_tub,NonseasonalKgal,0.032,0.001,No,0.293,1091
survey_hot_water_solar,NonseasonalKgal,0.000,0.000,Yes,0.000,1188
survey_hot_water_tankless,NonseasonalKgal,0.054,0.003,No,0.064,1188
survey_household_pays,NonseasonalKgal,-0.016,0.000,No,0.572,1178
survey_humidifier,NonseasonalKgal,0.043,0.002,No,0.140,1188
survey_ice_maker,NonseasonalKgal,0.072,0.005,Yes,0.014,1188
survey_irrigation,NonseasonalKgal,0.065,0.004,Yes,0.025,1188
survey_irrigation_avoid_heat,NonseasonalKgal,0.090,0.008,Yes,0.002,1188
survey_irrigation_efficient_system_installed,NonseasonalKgal,-0.012,0.000,No,0.671,1188
survey_irrigation_hand,NonseasonalKgal,-0.055,0.003,No,0.060,1188
survey_irrigation_HOA,NonseasonalKgal,0.031,0.001,No,0.285,1188
survey_irrigation_hose_sprinkler,NonseasonalKgal,-0.006,0.000,No,0.826,1188
survey_irrigation_inground,NonseasonalKgal,0.107,0.011,Yes,0.000,1188
survey_irrigation_inground_back,NonseasonalKgal,0.110,0.012,Yes,0.000,1188
Survey_Irrigation_InGround_Back_Automatic,NonseasonalKgal,0.109,0.012,Yes,0.000,1188
survey_irrigation_inground_cycle,NonseasonalKgal,-0.008,0.000,No,0.789,1188
survey_irrigation_inground_drip,NonseasonalKgal,0.011,0.000,No,0.714,1188
survey_irrigation_inground_front,NonseasonalKgal,0.095,0.009,Yes,0.001,1188
Survey_Irrigation_InGround_Front_Automatic,NonseasonalKgal,0.091,0.008,Yes,0.002,1188
survey_irrigation_inground_timer,NonseasonalKgal,0.104,0.011,Yes,0.000,1188
survey_irrigation_inground_timer_adjusted_conservation,NonseasonalKgal,0.062,0.004,Yes,0.034,1188
survey_irrigation_less_often,NonseasonalKgal,-0.035,0.001,No,0.225,1188
survey_irrigation_other,NonseasonalKgal,-0.024,0.001,No,0.407,1188
survey_irrigation_sensor_rain,NonseasonalKgal,0.007,0.000,No,0.821,1023
survey_irrigation_sensor_soil,NonseasonalKgal,0.001,0.000,No,0.977,1023
survey_irrigation_soaker,NonseasonalKgal,-0.013,0.000,No,0.665,1188
survey_irrigation_xeri,NonseasonalKgal,-0.035,0.001,No,0.229,1188
survey_number_of_adults_summer,NonseasonalKgal,0.422,0.178,Yes,0.000,1188
survey_number_of_adults_winter,NonseasonalKgal,0.426,0.182,Yes,0.000,1188
survey_number_of_bathroom_sinks,NonseasonalKgal,0.247,0.061,Yes,0.000,1176
survey_number_of_bathtub_only,NonseasonalKgal,0.135,0.018,Yes,0.000,765
survey_number_of_bathtub_showers,NonseasonalKgal,0.150,0.022,Yes,0.000,1142
survey_number_of_bathtubs,NonseasonalKgal,0.194,0.038,Yes,0.000,1188
survey_number_of_children_summer,NonseasonalKgal,0.260,0.068,Yes,0.000,1188
survey_number_of_children_winter,NonseasonalKgal,0.275,0.076,Yes,0.000,1188
survey_number_of_kitchen_sinks,NonseasonalKgal,0.121,0.015,Yes,0.000,1181
survey_number_of_shower_only,NonseasonalKgal,0.138,0.019,Yes,0.000,1004
survey_number_of_showers,NonseasonalKgal,0.222,0.049,Yes,0.000,1188
survey_number_of_showers_lfsh,NonseasonalKgal,0.137,0.019,Yes,0.000,1099
survey_number_of_teenagers_summer,NonseasonalKgal,0.275,0.076,Yes,0.000,1188
survey_number_of_teenagers_winter,NonseasonalKgal,0.272,0.074,Yes,0.000,1188
survey_number_of_toilets,NonseasonalKgal,0.254,0.064,Yes,0.000,1185
survey_number_of_toilets_16,NonseasonalKgal,0.083,0.007,Yes,0.007,1053
