var1,var2,Pearson coefficient (r),r-squared,Significance,p-value,Support (n)
KEYCODE,NormalizedAnnual,0.016,0.000,No,0.240,5104
survey_irrigation_inground_front,NormalizedAnnual,0.285,0.081,Yes,0.000,5104
survey_irrigation_inground_back,NormalizedAnnual,0.305,0.093,Yes,0.000,5104
survey_irrigation_inground_drip,NormalizedAnnual,0.084,0.007,Yes,0.000,5104
survey_irrigation_soaker,NormalizedAnnual,0.014,0.000,No,0.301,5104
survey_irrigation_hose_sprinkler,NormalizedAnnual,-0.045,0.002,Yes,0.001,5104
survey_irrigation_hand,NormalizedAnnual,-0.073,0.005,Yes,0.000,5104
survey_irrigation_other,NormalizedAnnual,-0.042,0.002,Yes,0.002,5104
survey_conservation_shower_short,NormalizedAnnual,-0.015,0.000,No,0.287,5104
survey_replaced_showerheads_LF,NormalizedAnnual,0.033,0.001,Yes,0.017,5104
survey_toilet_inserts,NormalizedAnnual,0.018,0.000,No,0.202,5104
survey_replaced_toilets_ulft,NormalizedAnnual,-0.003,0.000,No,0.836,5104
survey_disposal_used_less,NormalizedAnnual,0.003,0.000,No,0.814,5104
survey_dishwasher_used_less,NormalizedAnnual,0.133,0.018,Yes,0.000,5104
survey_clothes_washer_used_less,NormalizedAnnual,-0.010,0.000,No,0.491,5104
survey_faucet_drips_repaired,NormalizedAnnual,0.045,0.002,Yes,0.001,5104
survey_gray_water_last_few,NormalizedAnnual,-0.079,0.006,Yes,0.000,5104
survey_car_washed_less_often,NormalizedAnnual,0.012,0.000,No,0.378,5104
survey_irrigation_less_often,NormalizedAnnual,-0.029,0.001,Yes,0.038,5104
survey_irrigation_avoid_heat,NormalizedAnnual,0.089,0.008,Yes,0.000,5104
survey_irrigation_xeri,NormalizedAnnual,-0.046,0.002,Yes,0.001,5104
survey_irrigation_inground_timer_adjusted_conservation,NormalizedAnnual,0.250,0.062,Yes,0.000,5104
survey_irrigation_efficient_system_installed,NormalizedAnnual,0.032,0.001,Yes,0.024,5104
survey_irrigation_inground_cycle,NormalizedAnnual,0.071,0.005,Yes,0.000,5104
survey_has_been_audited,NormalizedAnnual,0.042,0.002,Yes,0.003,5104
survey_other_conservation,NormalizedAnnual,-0.043,0.002,Yes,0.002,5104
survey_number_of_adults_winter,NormalizedAnnual,0.305,0.093,Yes,0.000,5064
survey_number_of_teenagers_winter,NormalizedAnnual,0.182,0.033,Yes,0.000,5104
survey_number_of_children_winter,NormalizedAnnual,0.160,0.026,Yes,0.000,5104
survey_number_of_adults_summer,NormalizedAnnual,0.314,0.098,Yes,0.000,5060
survey_number_of_teenagers_summer,NormalizedAnnual,0.173,0.030,Yes,0.000,5104
survey_number_of_children_summer,NormalizedAnnual,0.154,0.024,Yes,0.000,5104
survey_number_of_toilets,NormalizedAnnual,0.391,0.153,Yes,0.000,5097
survey_number_of_bathtub_showers,NormalizedAnnual,0.217,0.047,Yes,0.000,4955
survey_number_of_bathtub_only,NormalizedAnnual,0.137,0.019,Yes,0.000,3313
survey_number_of_shower_only,NormalizedAnnual,0.239,0.057,Yes,0.000,4304
survey_number_of_whirlpools,NormalizedAnnual,0.223,0.050,Yes,0.000,3428
survey_number_of_bathroom_sinks,NormalizedAnnual,0.385,0.148,Yes,0.000,5060
