var1,var2,Pearson coefficient (r),r-squared,Significance,p-value,Support (n)
KEYCODE,NormalizedNonseasonal,0.031,0.001,No,0.280,1188
survey_irrigation_inground_front,NormalizedNonseasonal,0.099,0.010,Yes,0.001,1188
survey_irrigation_inground_back,NormalizedNonseasonal,0.105,0.011,Yes,0.000,1188
survey_irrigation_inground_drip,NormalizedNonseasonal,0.013,0.000,No,0.663,1188
survey_irrigation_soaker,NormalizedNonseasonal,0.013,0.000,No,0.644,1188
survey_irrigation_hose_sprinkler,NormalizedNonseasonal,0.041,0.002,No,0.154,1188
survey_irrigation_hand,NormalizedNonseasonal,-0.055,0.003,No,0.057,1188
survey_irrigation_other,NormalizedNonseasonal,-0.025,0.001,No,0.392,1188
survey_conservation_shower_short,NormalizedNonseasonal,0.005,0.000,No,0.862,1188
survey_replaced_showerheads_LF,NormalizedNonseasonal,0.000,0.000,No,0.993,1188
survey_toilet_inserts,NormalizedNonseasonal,-0.028,0.001,No,0.336,1188
survey_replaced_toilets_ulft,NormalizedNonseasonal,-0.019,0.000,No,0.516,1188
survey_disposal_used_less,NormalizedNonseasonal,-0.074,0.006,Yes,0.010,1188
survey_dishwasher_used_less,NormalizedNonseasonal,0.074,0.005,Yes,0.011,1188
survey_clothes_washer_used_less,NormalizedNonseasonal,-0.075,0.006,Yes,0.010,1188
survey_faucet_drips_repaired,NormalizedNonseasonal,0.079,0.006,Yes,0.006,1188
survey_gray_water_last_few,NormalizedNonseasonal,-0.094,0.009,Yes,0.001,1188
survey_car_washed_less_often,NormalizedNonseasonal,0.088,0.008,Yes,0.002,1188
survey_irrigation_less_often,NormalizedNonseasonal,-0.031,0.001,No,0.282,1188
survey_irrigation_avoid_heat,NormalizedNonseasonal,0.095,0.009,Yes,0.001,1188
survey_irrigation_xeri,NormalizedNonseasonal,-0.045,0.002,No,0.121,1188
survey_irrigation_inground_timer_adjusted_conservation,NormalizedNonseasonal,0.057,0.003,No,0.051,1188
survey_irrigation_efficient_system_installed,NormalizedNonseasonal,-0.003,0.000,No,0.915,1188
survey_irrigation_inground_cycle,NormalizedNonseasonal,0.012,0.000,No,0.687,1188
survey_has_been_audited,NormalizedNonseasonal,0.003,0.000,No,0.922,1188
survey_other_conservation,NormalizedNonseasonal,-0.086,0.007,Yes,0.003,1188
survey_number_of_adults_winter,NormalizedNonseasonal,0.405,0.164,Yes,0.000,1188
survey_number_of_teenagers_winter,NormalizedNonseasonal,0.245,0.060,Yes,0.000,1188
survey_number_of_children_winter,NormalizedNonseasonal,0.244,0.060,Yes,0.000,1188
survey_number_of_adults_summer,NormalizedNonseasonal,0.411,0.169,Yes,0.000,1188
survey_number_of_teenagers_summer,NormalizedNonseasonal,0.252,0.063,Yes,0.000,1188
survey_number_of_children_summer,NormalizedNonseasonal,0.238,0.057,Yes,0.000,1188
survey_number_of_toilets,NormalizedNonseasonal,0.228,0.052,Yes,0.000,1185
survey_number_of_bathtub_showers,NormalizedNonseasonal,0.140,0.020,Yes,0.000,1142
survey_number_of_bathtub_only,NormalizedNonseasonal,0.088,0.008,Yes,0.015,765
survey_number_of_shower_only,NormalizedNonseasonal,0.098,0.010,Yes,0.002,1004
survey_number_of_whirlpools,NormalizedNonseasonal,0.124,0.015,Yes,0.000,806
survey_number_of_bathroom_sinks,NormalizedNonseasonal,0.221,0.049,Yes,0.000,1176
survey_number_of_kitchen_sinks,NormalizedNonseasonal,0.099,0.010,Yes,0.001,1181
survey_number_of_utility_sinks,NormalizedNonseasonal,0.094,0.009,Yes,0.003,964
survey_number_of_bathtubs,NormalizedNonseasonal,0.170,0.029,Yes,0.000,1188
survey_number_of_showers,NormalizedNonseasonal,0.201,0.040,Yes,0.000,1188
survey_disposal,NormalizedNonseasonal,0.070,0.005,Yes,0.017,1164
survey_clothes_washer_top,NormalizedNonseasonal,0.078,0.006,Yes,0.007,1179
survey_clothes_washer_front,NormalizedNonseasonal,0.059,0.003,No,0.058,1036
survey_dishwasher,NormalizedNonseasonal,0.180,0.032,Yes,0.000,1158
survey_pool,NormalizedNonseasonal,0.158,0.025,Yes,0.000,1101
survey_hot_tub,NormalizedNonseasonal,0.054,0.003,No,0.073,1091
survey_evap_cooler,NormalizedNonseasonal,0.066,0.004,Yes,0.029,1088
survey_pressure_regulator,NormalizedNonseasonal,0.036,0.001,No,0.260,977
survey_treatment,NormalizedNonseasonal,0.095,0.009,Yes,0.001,1117
survey_greenhouse,NormalizedNonseasonal,-0.009,0.000,No,0.775,1096
survey_garden_flower,NormalizedNonseasonal,0.061,0.004,Yes,0.037,1151
survey_garden_veggie,NormalizedNonseasonal,-0.033,0.001,No,0.264,1123
survey_clothes_washer,NormalizedNonseasonal,0.131,0.017,Yes,0.000,1183
survey_aquarium,NormalizedNonseasonal,0.011,0.000,No,0.704,1188
survey_hot_water_solar,NormalizedNonseasonal,0.000,0.000,Yes,0.000,1188
survey_humidifier,NormalizedNonseasonal,0.048,0.002,No,0.101,1188
survey_ice_maker,NormalizedNonseasonal,0.063,0.004,Yes,0.031,1188
survey_hot_water_tankless,NormalizedNonseasonal,0.039,0.001,No,0.183,1188
survey_water_feature_outdoor_fountain,NormalizedNonseasonal,0.048,0.002,No,0.098,1188
survey_water_feature_outdoor_pond,NormalizedNonseasonal,0.022,0.000,No,0.443,1188
survey_water_feature_outdoor,NormalizedNonseasonal,0.051,0.003,No,0.076,1188
survey_number_of_showers_lfsh,NormalizedNonseasonal,0.100,0.010,Yes,0.001,1099
survey_number_of_toilets_16,NormalizedNonseasonal,0.055,0.003,No,0.072,1053
survey_other_sources,NormalizedNonseasonal,-0.036,0.001,No,0.232,1128
survey_canal_ditch,NormalizedNonseasonal,0.089,0.008,No,0.458,71
survey_cistern,NormalizedNonseasonal,-0.026,0.001,No,0.829,71
survey_well,NormalizedNonseasonal,-0.016,0.000,No,0.897,71
survey_stream,NormalizedNonseasonal,0.000,0.000,Yes,0.000,71
survey_has_alternative_source,NormalizedNonseasonal,-0.030,0.001,No,0.805,71
survey_rain_barrel,NormalizedNonseasonal,-0.055,0.003,No,0.057,1188
survey_roof_direction,NormalizedNonseasonal,-0.039,0.002,No,0.184,1177
