var1,var2,Pearson coefficient (r),r-squared,Significance,p-value,Support (n)
KEYCODE,NormalizedSeasonal,-0.009,0.000,No,0.770,1063
survey_irrigation_inground_front,NormalizedSeasonal,0.298,0.089,Yes,0.000,1063
survey_irrigation_inground_back,NormalizedSeasonal,0.321,0.103,Yes,0.000,1063
survey_irrigation_inground_drip,NormalizedSeasonal,0.078,0.006,Yes,0.011,1063
survey_irrigation_soaker,NormalizedSeasonal,0.003,0.000,No,0.923,1063
survey_irrigation_hose_sprinkler,NormalizedSeasonal,-0.059,0.003,No,0.056,1063
survey_irrigation_hand,NormalizedSeasonal,-0.082,0.007,Yes,0.007,1063
survey_irrigation_other,NormalizedSeasonal,-0.033,0.001,No,0.282,1063
survey_conservation_shower_short,NormalizedSeasonal,-0.036,0.001,No,0.246,1063
survey_replaced_showerheads_LF,NormalizedSeasonal,0.020,0.000,No,0.525,1063
survey_toilet_inserts,NormalizedSeasonal,0.013,0.000,No,0.682,1063
survey_replaced_toilets_ulft,NormalizedSeasonal,0.022,0.001,No,0.464,1063
survey_disposal_used_less,NormalizedSeasonal,-0.004,0.000,No,0.901,1063
survey_dishwasher_used_less,NormalizedSeasonal,0.073,0.005,Yes,0.017,1063
survey_clothes_washer_used_less,NormalizedSeasonal,0.011,0.000,No,0.726,1063
survey_faucet_drips_repaired,NormalizedSeasonal,0.024,0.001,No,0.434,1063
survey_gray_water_last_few,NormalizedSeasonal,-0.024,0.001,No,0.443,1063
survey_car_washed_less_often,NormalizedSeasonal,0.012,0.000,No,0.696,1063
survey_irrigation_less_often,NormalizedSeasonal,-0.033,0.001,No,0.287,1063
survey_irrigation_avoid_heat,NormalizedSeasonal,0.056,0.003,No,0.067,1063
survey_irrigation_xeri,NormalizedSeasonal,-0.059,0.004,No,0.053,1063
survey_irrigation_inground_timer_adjusted_conservation,NormalizedSeasonal,0.237,0.056,Yes,0.000,1063
survey_irrigation_efficient_system_installed,NormalizedSeasonal,0.052,0.003,No,0.091,1063
survey_irrigation_inground_cycle,NormalizedSeasonal,0.072,0.005,Yes,0.019,1063
survey_has_been_audited,NormalizedSeasonal,0.052,0.003,No,0.087,1063
survey_other_conservation,NormalizedSeasonal,-0.009,0.000,No,0.768,1063
survey_number_of_adults_winter,NormalizedSeasonal,0.124,0.015,Yes,0.000,1063
survey_number_of_teenagers_winter,NormalizedSeasonal,0.089,0.008,Yes,0.004,1063
survey_number_of_children_winter,NormalizedSeasonal,0.091,0.008,Yes,0.003,1063
survey_number_of_adults_summer,NormalizedSeasonal,0.120,0.014,Yes,0.000,1063
survey_number_of_teenagers_summer,NormalizedSeasonal,0.075,0.006,Yes,0.014,1063
survey_number_of_children_summer,NormalizedSeasonal,0.084,0.007,Yes,0.006,1063
survey_number_of_toilets,NormalizedSeasonal,0.317,0.100,Yes,0.000,1060
survey_number_of_bathtub_showers,NormalizedSeasonal,0.147,0.022,Yes,0.000,1025
survey_number_of_bathtub_only,NormalizedSeasonal,0.107,0.011,Yes,0.005,680
survey_number_of_shower_only,NormalizedSeasonal,0.171,0.029,Yes,0.000,903
survey_number_of_whirlpools,NormalizedSeasonal,0.216,0.046,Yes,0.000,721
survey_number_of_bathroom_sinks,NormalizedSeasonal,0.330,0.109,Yes,0.000,1051
survey_number_of_kitchen_sinks,NormalizedSeasonal,0.071,0.005,Yes,0.020,1056
survey_number_of_utility_sinks,NormalizedSeasonal,0.154,0.024,Yes,0.000,861
survey_number_of_bathtubs,NormalizedSeasonal,0.191,0.036,Yes,0.000,1063
survey_number_of_showers,NormalizedSeasonal,0.270,0.073,Yes,0.000,1063
survey_disposal,NormalizedSeasonal,0.121,0.015,Yes,0.000,1044
survey_clothes_washer_top,NormalizedSeasonal,0.018,0.000,No,0.550,1056
survey_clothes_washer_front,NormalizedSeasonal,-0.012,0.000,No,0.716,921
survey_dishwasher,NormalizedSeasonal,0.206,0.042,Yes,0.000,1037
survey_pool,NormalizedSeasonal,0.258,0.067,Yes,0.000,985
survey_hot_tub,NormalizedSeasonal,0.075,0.006,Yes,0.019,974
survey_evap_cooler,NormalizedSeasonal,0.062,0.004,No,0.052,972
survey_pressure_regulator,NormalizedSeasonal,0.032,0.001,No,0.342,874
survey_treatment,NormalizedSeasonal,0.107,0.012,Yes,0.001,999
survey_greenhouse,NormalizedSeasonal,0.031,0.001,No,0.333,979
survey_garden_flower,NormalizedSeasonal,0.121,0.015,Yes,0.000,1031
survey_garden_veggie,NormalizedSeasonal,0.027,0.001,No,0.392,1005
survey_clothes_washer,NormalizedSeasonal,0.026,0.001,No,0.395,1059
survey_aquarium,NormalizedSeasonal,-0.094,0.009,Yes,0.002,1063
survey_hot_water_solar,NormalizedSeasonal,0.000,0.000,Yes,0.000,1063
survey_humidifier,NormalizedSeasonal,-0.020,0.000,No,0.507,1063
survey_ice_maker,NormalizedSeasonal,0.025,0.001,No,0.409,1063
survey_hot_water_tankless,NormalizedSeasonal,0.011,0.000,No,0.729,1063
survey_water_feature_outdoor_fountain,NormalizedSeasonal,0.062,0.004,Yes,0.045,1063
survey_water_feature_outdoor_pond,NormalizedSeasonal,0.048,0.002,No,0.114,1063
survey_water_feature_outdoor,NormalizedSeasonal,0.079,0.006,Yes,0.010,1063
survey_number_of_showers_lfsh,NormalizedSeasonal,0.155,0.024,Yes,0.000,982
survey_number_of_toilets_16,NormalizedSeasonal,0.080,0.006,Yes,0.015,942
survey_other_sources,NormalizedSeasonal,-0.093,0.009,Yes,0.003,1007
survey_canal_ditch,NormalizedSeasonal,-0.018,0.000,No,0.891,61
survey_cistern,NormalizedSeasonal,-0.013,0.000,No,0.922,61
survey_well,NormalizedSeasonal,-0.271,0.073,Yes,0.035,61
survey_stream,NormalizedSeasonal,0.000,0.000,Yes,0.000,61
survey_has_alternative_source,NormalizedSeasonal,0.261,0.068,Yes,0.042,61
survey_rain_barrel,NormalizedSeasonal,-0.003,0.000,No,0.919,1063
survey_roof_direction,NormalizedSeasonal,-0.026,0.001,No,0.396,1052
survey_irrigation,NormalizedSeasonal,0.211,0.045,Yes,0.000,1063
survey_irrigation_inground,NormalizedSeasonal,0.326,0.107,Yes,0.000,1063
survey_irrigation_HOA,NormalizedSeasonal,-0.034,0.001,No,0.267,1063
Survey_Irrigation_InGround_Front_Automatic,NormalizedSeasonal,0.319,0.102,Yes,0.000,1063
Survey_Irrigation_InGround_Back_Automatic,NormalizedSeasonal,0.342,0.117,Yes,0.000,1063
survey_irrigation_inground_timer,NormalizedSeasonal,0.346,0.120,Yes,0.000,1063
survey_irrigation_sensor_rain,NormalizedSeasonal,0.035,0.001,No,0.287,913
survey_irrigation_sensor_soil,NormalizedSeasonal,0.031,0.001,No,0.351,913
survey_conservation,NormalizedSeasonal,0.008,0.000,No,0.807,1008
survey_SFR,NormalizedSeasonal,0.150,0.022,Yes,0.000,1052
survey_has_apartment,NormalizedSeasonal,-0.034,0.001,No,0.264,1052
survey_separate_meters,NormalizedSeasonal,0.016,0.000,No,0.617,930
survey_household_pays,NormalizedSeasonal,-0.022,0.000,No,0.478,1056
survey_adults_employed,NormalizedSeasonal,0.055,0.003,No,0.074,1048
survey_floors,NormalizedSeasonal,0.091,0.008,Yes,0.003,1044
survey_renter,NormalizedSeasonal,-0.101,0.010,Yes,0.001,1045
reuws1_attitude_A,NormalizedSeasonal,-0.028,0.001,No,0.365,1030
survey_drought,NormalizedSeasonal,-0.111,0.012,Yes,0.002,808
survey_highest_grade,NormalizedSeasonal,0.204,0.042,Yes,0.000,1022
irrigated_area_sqft,NormalizedSeasonal,0.211,0.045,Yes,0.000,1015
Q3,NormalizedSeasonal,0.063,0.004,Yes,0.048,995
Q4no,NormalizedSeasonal,-0.026,0.001,No,0.397,1063
Q4year,NormalizedSeasonal,0.046,0.002,No,0.135,1063
Q5no,NormalizedSeasonal,-0.200,0.040,Yes,0.000,1063
Q5year,NormalizedSeasonal,0.156,0.024,Yes,0.000,1063
Q6,NormalizedSeasonal,0.001,0.000,No,0.979,1063
Q13,NormalizedSeasonal,0.206,0.042,Yes,0.000,1034
Q14,NormalizedSeasonal,0.282,0.080,Yes,0.000,1033
