var1,var2,Pearson coefficient (r),r-squared,Significance,p-value,Support (n)
KEYCODE,StandardizedAnnualresidualbyfamily,-0.021,0.000,No,0.138,5075
survey_irrigation_inground_front,StandardizedAnnualresidualbyfamily,0.290,0.084,Yes,0.000,5075
survey_irrigation_inground_back,StandardizedAnnualresidualbyfamily,0.315,0.099,Yes,0.000,5075
survey_irrigation_inground_drip,StandardizedAnnualresidualbyfamily,0.095,0.009,Yes,0.000,5075
survey_irrigation_soaker,StandardizedAnnualresidualbyfamily,0.022,0.000,No,0.122,5075
survey_irrigation_hose_sprinkler,StandardizedAnnualresidualbyfamily,-0.056,0.003,Yes,0.000,5075
survey_irrigation_hand,StandardizedAnnualresidualbyfamily,-0.085,0.007,Yes,0.000,5075
survey_irrigation_other,StandardizedAnnualresidualbyfamily,-0.041,0.002,Yes,0.004,5075
survey_conservation_shower_short,StandardizedAnnualresidualbyfamily,-0.034,0.001,Yes,0.015,5075
survey_replaced_showerheads_LF,StandardizedAnnualresidualbyfamily,0.003,0.000,No,0.833,5075
survey_toilet_inserts,StandardizedAnnualresidualbyfamily,0.006,0.000,No,0.665,5075
survey_replaced_toilets_ulft,StandardizedAnnualresidualbyfamily,-0.025,0.001,No,0.070,5075
survey_disposal_used_less,StandardizedAnnualresidualbyfamily,0.020,0.000,No,0.156,5075
survey_dishwasher_used_less,StandardizedAnnualresidualbyfamily,0.124,0.015,Yes,0.000,5075
survey_clothes_washer_used_less,StandardizedAnnualresidualbyfamily,0.007,0.000,No,0.613,5075
survey_faucet_drips_repaired,StandardizedAnnualresidualbyfamily,0.019,0.000,No,0.177,5075
survey_gray_water_last_few,StandardizedAnnualresidualbyfamily,-0.072,0.005,Yes,0.000,5075
survey_car_washed_less_often,StandardizedAnnualresidualbyfamily,-0.018,0.000,No,0.202,5075
survey_irrigation_less_often,StandardizedAnnualresidualbyfamily,-0.050,0.003,Yes,0.000,5075
survey_irrigation_avoid_heat,StandardizedAnnualresidualbyfamily,0.067,0.005,Yes,0.000,5075
survey_irrigation_xeri,StandardizedAnnualresidualbyfamily,-0.039,0.002,Yes,0.006,5075
survey_irrigation_inground_timer_adjusted_conservation,StandardizedAnnualresidualbyfamily,0.249,0.062,Yes,0.000,5075
survey_irrigation_efficient_system_installed,StandardizedAnnualresidualbyfamily,0.036,0.001,Yes,0.010,5075
survey_irrigation_inground_cycle,StandardizedAnnualresidualbyfamily,0.068,0.005,Yes,0.000,5075
survey_has_been_audited,StandardizedAnnualresidualbyfamily,0.042,0.002,Yes,0.003,5075
survey_other_conservation,StandardizedAnnualresidualbyfamily,-0.033,0.001,Yes,0.019,5075
survey_number_of_adults_winter,StandardizedAnnualresidualbyfamily,-0.004,0.000,No,0.771,5064
survey_number_of_teenagers_winter,StandardizedAnnualresidualbyfamily,0.005,0.000,No,0.738,5075
survey_number_of_children_winter,StandardizedAnnualresidualbyfamily,0.003,0.000,No,0.851,5075
survey_number_of_adults_summer,StandardizedAnnualresidualbyfamily,0.005,0.000,No,0.742,5060
survey_number_of_teenagers_summer,StandardizedAnnualresidualbyfamily,-0.005,0.000,No,0.742,5075
survey_number_of_children_summer,StandardizedAnnualresidualbyfamily,-0.003,0.000,No,0.850,5075
survey_number_of_toilets,StandardizedAnnualresidualbyfamily,0.324,0.105,Yes,0.000,5069
survey_number_of_bathtub_showers,StandardizedAnnualresidualbyfamily,0.164,0.027,Yes,0.000,4928
survey_number_of_bathtub_only,StandardizedAnnualresidualbyfamily,0.130,0.017,Yes,0.000,3298
survey_number_of_shower_only,StandardizedAnnualresidualbyfamily,0.211,0.045,Yes,0.000,4284
survey_number_of_whirlpools,StandardizedAnnualresidualbyfamily,0.198,0.039,Yes,0.000,3415
survey_number_of_bathroom_sinks,StandardizedAnnualresidualbyfamily,0.324,0.105,Yes,0.000,5032
survey_number_of_kitchen_sinks,StandardizedAnnualresidualbyfamily,0.080,0.006,Yes,0.000,5048
survey_number_of_utility_sinks,StandardizedAnnualresidualbyfamily,0.162,0.026,Yes,0.000,4138
survey_number_of_bathtubs,StandardizedAnnualresidualbyfamily,0.207,0.043,Yes,0.000,5075
survey_number_of_showers,StandardizedAnnualresidualbyfamily,0.284,0.081,Yes,0.000,5075
survey_disposal,StandardizedAnnualresidualbyfamily,0.134,0.018,Yes,0.000,4976
survey_clothes_washer_top,StandardizedAnnualresidualbyfamily,0.074,0.005,Yes,0.000,5040
survey_clothes_washer_front,StandardizedAnnualresidualbyfamily,0.008,0.000,No,0.572,4438
survey_dishwasher,StandardizedAnnualresidualbyfamily,0.206,0.042,Yes,0.000,4948
survey_pool,StandardizedAnnualresidualbyfamily,0.256,0.066,Yes,0.000,4689
survey_hot_tub,StandardizedAnnualresidualbyfamily,0.091,0.008,Yes,0.000,4671
survey_evap_cooler,StandardizedAnnualresidualbyfamily,0.045,0.002,Yes,0.002,4650
survey_pressure_regulator,StandardizedAnnualresidualbyfamily,0.047,0.002,Yes,0.002,4152
survey_treatment,StandardizedAnnualresidualbyfamily,0.078,0.006,Yes,0.000,4717
survey_greenhouse,StandardizedAnnualresidualbyfamily,0.004,0.000,No,0.794,4674
survey_garden_flower,StandardizedAnnualresidualbyfamily,0.109,0.012,Yes,0.000,4907
survey_garden_veggie,StandardizedAnnualresidualbyfamily,0.017,0.000,No,0.235,4767
survey_clothes_washer,StandardizedAnnualresidualbyfamily,0.111,0.012,Yes,0.000,5053
survey_aquarium,StandardizedAnnualresidualbyfamily,-0.004,0.000,No,0.769,5075
survey_hot_water_solar,StandardizedAnnualresidualbyfamily,0.013,0.000,No,0.365,5075
survey_humidifier,StandardizedAnnualresidualbyfamily,-0.016,0.000,No,0.245,5075
survey_ice_maker,StandardizedAnnualresidualbyfamily,0.050,0.002,Yes,0.000,5075
survey_hot_water_tankless,StandardizedAnnualresidualbyfamily,-0.006,0.000,No,0.670,5075
survey_water_feature_outdoor_fountain,StandardizedAnnualresidualbyfamily,0.037,0.001,Yes,0.008,5075
survey_water_feature_outdoor_pond,StandardizedAnnualresidualbyfamily,0.006,0.000,No,0.651,5075
survey_water_feature_outdoor,StandardizedAnnualresidualbyfamily,0.028,0.001,Yes,0.050,5075
survey_number_of_showers_lfsh,StandardizedAnnualresidualbyfamily,0.120,0.014,Yes,0.000,4696
survey_number_of_toilets_16,StandardizedAnnualresidualbyfamily,0.071,0.005,Yes,0.000,4502
survey_other_sources,StandardizedAnnualresidualbyfamily,-0.084,0.007,Yes,0.000,4871
survey_canal_ditch,StandardizedAnnualresidualbyfamily,-0.003,0.000,No,0.958,284
survey_cistern,StandardizedAnnualresidualbyfamily,-0.004,0.000,No,0.942,284
survey_well,StandardizedAnnualresidualbyfamily,-0.116,0.013,No,0.051,284
survey_stream,StandardizedAnnualresidualbyfamily,0.029,0.001,No,0.624,284
survey_has_alternative_source,StandardizedAnnualresidualbyfamily,0.096,0.009,No,0.107,284
survey_rain_barrel,StandardizedAnnualresidualbyfamily,-0.028,0.001,Yes,0.047,5075
survey_roof_direction,StandardizedAnnualresidualbyfamily,-0.059,0.004,Yes,0.000,5035
survey_irrigation,StandardizedAnnualresidualbyfamily,0.164,0.027,Yes,0.000,5075
survey_irrigation_inground,StandardizedAnnualresidualbyfamily,0.315,0.100,Yes,0.000,5075
survey_irrigation_HOA,StandardizedAnnualresidualbyfamily,-0.039,0.002,Yes,0.006,5075
Survey_Irrigation_InGround_Front_Automatic,StandardizedAnnualresidualbyfamily,0.328,0.108,Yes,0.000,5075
Survey_Irrigation_InGround_Back_Automatic,StandardizedAnnualresidualbyfamily,0.342,0.117,Yes,0.000,5075
survey_irrigation_inground_timer,StandardizedAnnualresidualbyfamily,0.348,0.121,Yes,0.000,5075
survey_irrigation_sensor_rain,StandardizedAnnualresidualbyfamily,0.061,0.004,Yes,0.000,4425
survey_irrigation_sensor_soil,StandardizedAnnualresidualbyfamily,0.036,0.001,Yes,0.016,4425
survey_conservation,StandardizedAnnualresidualbyfamily,0.006,0.000,No,0.669,4841
survey_SFR,StandardizedAnnualresidualbyfamily,0.108,0.012,Yes,0.000,5006
survey_has_apartment,StandardizedAnnualresidualbyfamily,-0.039,0.002,Yes,0.006,5001
survey_separate_meters,StandardizedAnnualresidualbyfamily,0.019,0.000,No,0.202,4463
survey_household_pays,StandardizedAnnualresidualbyfamily,-0.019,0.000,No,0.167,5036
survey_adults_employed,StandardizedAnnualresidualbyfamily,0.009,0.000,No,0.545,4993
survey_floors,StandardizedAnnualresidualbyfamily,0.117,0.014,Yes,0.000,5016
survey_renter,StandardizedAnnualresidualbyfamily,-0.112,0.013,Yes,0.000,5009
reuws1_attitude_A,StandardizedAnnualresidualbyfamily,-0.076,0.006,Yes,0.000,4922
survey_drought,StandardizedAnnualresidualbyfamily,-0.061,0.004,Yes,0.000,3919
survey_highest_grade,StandardizedAnnualresidualbyfamily,0.147,0.021,Yes,0.000,4888
irrigated_area_sqft,StandardizedAnnualresidualbyfamily,0.255,0.065,Yes,0.000,1130
Q3,StandardizedAnnualresidualbyfamily,0.067,0.004,Yes,0.000,4799
Q4no,StandardizedAnnualresidualbyfamily,-0.116,0.014,Yes,0.000,5074
Q4year,StandardizedAnnualresidualbyfamily,0.079,0.006,Yes,0.000,5075
Q5no,StandardizedAnnualresidualbyfamily,-0.206,0.042,Yes,0.000,5075
Q5year,StandardizedAnnualresidualbyfamily,0.171,0.029,Yes,0.000,5075
Q6,StandardizedAnnualresidualbyfamily,-0.022,0.000,No,0.121,5075
Q13,StandardizedAnnualresidualbyfamily,0.178,0.032,Yes,0.000,4944
Q14,StandardizedAnnualresidualbyfamily,0.283,0.080,Yes,0.000,4936
Q20,StandardizedAnnualresidualbyfamily,0.208,0.043,Yes,0.000,5075
Q23no,StandardizedAnnualresidualbyfamily,-0.123,0.015,Yes,0.000,5075
Q23length,StandardizedAnnualresidualbyfamily,0.252,0.063,Yes,0.000,5075
Q23width,StandardizedAnnualresidualbyfamily,0.238,0.057,Yes,0.000,5075
Q23depth,StandardizedAnnualresidualbyfamily,0.225,0.051,Yes,0.000,5075
survey_year,StandardizedAnnualresidualbyfamily,0.000,0.000,No,1.000,5075
survey_parcel_sqft,StandardizedAnnualresidualbyfamily,0.258,0.067,Yes,0.000,4022
survey_landscape_pct,StandardizedAnnualresidualbyfamily,0.116,0.013,Yes,0.000,4069
survey_landscape_turf_pct,StandardizedAnnualresidualbyfamily,0.018,0.000,No,0.239,4158
survey_irrigation_pct,StandardizedAnnualresidualbyfamily,0.224,0.050,Yes,0.000,4340
Survey_Car_Washed,StandardizedAnnualresidualbyfamily,0.004,0.000,No,0.760,4997
survey_walk_washed,StandardizedAnnualresidualbyfamily,0.099,0.010,Yes,0.000,4984
survey_number_of_adults,StandardizedAnnualresidualbyfamily,0.000,0.000,No,1.000,5075
survey_number_of_teenagers,StandardizedAnnualresidualbyfamily,0.000,0.000,No,1.000,5075
survey_number_of_children,StandardizedAnnualresidualbyfamily,0.000,0.000,No,1.000,5075
capita,StandardizedAnnualresidualbyfamily,0.000,0.000,No,1.000,5075
survey_homies,StandardizedAnnualresidualbyfamily,-0.001,0.000,No,0.918,4993
survey_year_built,StandardizedAnnualresidualbyfamily,0.126,0.016,Yes,0.000,4855
survey_year_moved_in,StandardizedAnnualresidualbyfamily,-0.002,0.000,No,0.883,4959
survey_indoor_sqft,StandardizedAnnualresidualbyfamily,0.360,0.130,Yes,0.000,4527
survey_monthly_rent,StandardizedAnnualresidualbyfamily,0.135,0.018,Yes,0.002,501
survey_home_value,StandardizedAnnualresidualbyfamily,0.357,0.127,Yes,0.000,4319
survey_household_income,StandardizedAnnualresidualbyfamily,0.315,0.099,Yes,0.000,4185
TraceLengthDays,StandardizedAnnualresidualbyfamily,0.036,0.001,No,0.212,1187
TotalGPD,StandardizedAnnualresidualbyfamily,0.477,0.227,Yes,0.000,1187
IndoorGPD,StandardizedAnnualresidualbyfamily,0.382,0.146,Yes,0.000,1187
OutdoorGPD,StandardizedAnnualresidualbyfamily,0.428,0.183,Yes,0.000,1146
Bathtubgpd,StandardizedAnnualresidualbyfamily,0.063,0.004,No,0.088,725
Clotheswashergpd,StandardizedAnnualresidualbyfamily,0.217,0.047,Yes,0.000,1160
Dishwashergpd,StandardizedAnnualresidualbyfamily,0.142,0.020,Yes,0.000,906
Faucetgpd,StandardizedAnnualresidualbyfamily,0.293,0.086,Yes,0.000,1187
Leakgpd,StandardizedAnnualresidualbyfamily,0.236,0.056,Yes,0.000,1184
Othergpd,StandardizedAnnualresidualbyfamily,0.153,0.023,Yes,0.000,1099
Showergpd,StandardizedAnnualresidualbyfamily,0.161,0.026,Yes,0.000,1178
Toiletgpd,StandardizedAnnualresidualbyfamily,0.279,0.078,Yes,0.000,1187
Averageclotheswasherloadgal,StandardizedAnnualresidualbyfamily,0.098,0.010,Yes,0.001,1160
Clotheswasherloadsperday,StandardizedAnnualresidualbyfamily,0.205,0.042,Yes,0.000,1160
