var1,var2,Pearson coefficient (r),r-squared,Significance,p-value,Support (n)
survey_dishwasher_used_less,survey_clothes_washer_used_less,0.382,0.146,Yes,0.000,5574
survey_pool,Q23depth,0.885,0.784,Yes,0.000,5165
survey_irrigation_hose_sprinkler,survey_irrigation_inground,-0.396,0.157,Yes,0.000,5574
survey_faucet_drips_repaired,survey_conservation,0.268,0.072,Yes,0.000,5318
survey_irrigation_HOA,survey_SFR,-0.111,0.012,Yes,0.000,5498
Averagetoiletflushvolume,pct_flushes_lt_2_2,-0.758,0.575,Yes,0.000,1187
survey_number_of_toilets,survey_floors,0.391,0.153,Yes,0.000,5499
NormalizedAnnual,StandardizedSeasonalresidualbyfamily,0.732,0.536,Yes,0.000,1063
Averageshowerseconds,Averageshowermodeflowgpm,-0.312,0.097,Yes,0.000,1178
survey_number_of_teenagers,capita,0.455,0.207,Yes,0.000,5574
Q5no,Q5year,-0.703,0.494,Yes,0.000,5574
survey_irrigation_hose_sprinkler,survey_garden_veggie,0.156,0.024,Yes,0.000,5229
survey_landscape_pct,survey_landscape_turf_pct,0.339,0.115,Yes,0.000,3953
survey_replaced_showerheads_LF,survey_toilet_inserts,0.275,0.076,Yes,0.000,5574
Clotheswashergpd,Averageclotheswasherloadgal,0.246,0.061,Yes,0.000,1160
IndoorGPD,Leakgpd,0.598,0.358,Yes,0.000,1184
survey_well,survey_roof_direction,-0.380,0.144,Yes,0.000,274
KEYCODE,survey_well,-0.390,0.152,Yes,0.000,305
IndoorGPD,Faucetgpd,0.616,0.380,Yes,0.000,1187
survey_disposal_used_less,survey_disposal,0.365,0.133,Yes,0.000,5467
survey_water_feature_outdoor_fountain,survey_water_feature_outdoor,0.683,0.466,Yes,0.000,5574
survey_number_of_children,capita,0.691,0.477,Yes,0.000,5574
survey_drought,Q13,0.195,0.038,Yes,0.000,4189
survey_home_value,survey_household_income,0.649,0.421,Yes,0.000,4064
survey_dishwasher,Q5year,0.725,0.525,Yes,0.000,5438
survey_aquarium,Q3,0.202,0.041,Yes,0.000,5259
