var1,var2,Pearson coefficient (r),r-squared,Significance,p-value,Support (n)
survey_clothes_washer_used_less,survey_dishwasher_used_less,0.382,0.146,Yes,0.000,5574
survey_pool,AnnualKgal,0.398,0.158,Yes,0.000,4714
survey_irrigation_hose_sprinkler,survey_irrigation_inground,-0.396,0.157,Yes,0.000,5574
survey_conservation,survey_faucet_drips_repaired,0.268,0.072,Yes,0.000,5318
Averagetoiletflushvolume,pct_flushes_lt_2_2,-0.758,0.575,Yes,0.000,1187
survey_floors,survey_number_of_toilets,0.391,0.153,Yes,0.000,5499
Averageshowergal,Averageshowermodeflowgpm,0.489,0.239,Yes,0.000,1178
capita,survey_number_of_teenagers,0.455,0.207,Yes,0.000,5574
irrigated_area_sqft,survey_parcel_sqft,0.529,0.280,Yes,0.000,908
survey_garden_veggie,survey_irrigation_hose_sprinkler,0.156,0.024,Yes,0.000,5229
survey_toilet_inserts,survey_well,-0.174,0.030,Yes,0.002,305
Averageclotheswasherloadgal,Clotheswashergpd,0.246,0.061,Yes,0.000,1160
Leakgpd,NonseasonalKgal,0.601,0.361,Yes,0.000,1184
survey_has_alternative_source,survey_roof_direction,0.512,0.262,Yes,0.000,274
Faucetgpd,IndoorGPD,0.616,0.380,Yes,0.000,1187
survey_disposal,survey_disposal_used_less,0.365,0.133,Yes,0.000,5467
survey_water_feature_outdoor,survey_water_feature_outdoor_fountain,0.683,0.466,Yes,0.000,5574
Showerminutesperday,survey_number_of_children,0.303,0.092,Yes,0.000,1178
survey_canal_ditch,survey_drought,0.180,0.032,Yes,0.005,245
survey_home_value,survey_household_income,0.649,0.421,Yes,0.000,4064
survey_irrigation_inground_timer,survey_irrigation_inground_timer_adjusted_conservation,0.633,0.401,Yes,0.000,5574
survey_irrigation_efficient_system_installed,survey_irrigation_xeri,0.278,0.077,Yes,0.000,5574
survey_cistern,survey_irrigation_efficient_system_installed,0.206,0.043,Yes,0.000,305
survey_canal_ditch,survey_other_conservation,-0.109,0.012,No,0.057,305
survey_greenhouse,Bathtubgpd,0.107,0.012,Yes,0.005,671
survey_aquarium,survey_well,-0.081,0.007,No,0.156,305
survey_treatment,Othergpd,0.273,0.074,Yes,0.000,1038
survey_dishwasher_used_less,survey_disposal_used_less,0.317,0.101,Yes,0.000,5574
survey_dishwasher,survey_disposal,0.473,0.224,Yes,0.000,5400
survey_cistern,survey_water_feature_outdoor_pond,0.101,0.010,No,0.079,305
survey_number_of_teenagers_summer,survey_number_of_teenagers,0.990,0.981,Yes,0.000,5574
survey_conservation,survey_dishwasher_used_less,0.287,0.082,Yes,0.000,5318
survey_irrigation_sensor_rain,survey_irrigation_sensor_soil,0.308,0.095,Yes,0.000,4847
Dishwashergpd,NonseasonalKgal,0.344,0.118,Yes,0.000,906
survey_number_of_toilets,survey_home_value,0.680,0.463,Yes,0.000,4731
survey_ice_maker,Bathtubgpd,0.137,0.019,Yes,0.000,725
survey_household_pays,survey_renter,0.276,0.076,Yes,0.000,5457
survey_number_of_teenagers_winter,survey_number_of_teenagers,0.990,0.980,Yes,0.000,5574
survey_year_built,survey_age_of_home,-1.000,1.000,Yes,0.000,5330
survey_clothes_washer_top,survey_dishwasher,0.202,0.041,Yes,0.000,5416
survey_replaced_toilets_ulft,pct_flushes_gt_2_2,-0.449,0.202,Yes,0.000,1187
Survey_Car_Washed,survey_walk_washed,0.231,0.054,Yes,0.000,5431
survey_number_of_showers_lfsh,survey_replaced_showerheads_LF,0.504,0.254,Yes,0.000,5149
survey_household_income,survey_monthly_rent,0.637,0.405,Yes,0.000,498
survey_conservation,survey_irrigation_avoid_heat,0.242,0.058,Yes,0.000,5318
survey_highest_grade,survey_household_income,0.468,0.219,Yes,0.000,4518
survey_number_of_adults_winter,survey_number_of_adults,0.976,0.953,Yes,0.000,5534
survey_number_of_shower_only,survey_number_of_showers,0.683,0.467,Yes,0.000,4724
survey_number_of_toilets,survey_indoor_sqft,0.712,0.507,Yes,0.000,4979
Averageshowerseconds,Showerminutesperday,0.446,0.199,Yes,0.000,1178
IndoorGPD,survey_walk_washed,0.189,0.036,Yes,0.000,1164
survey_irrigation,survey_irrigation_hand,0.241,0.058,Yes,0.000,5574
Survey_Irrigation_InGround_Back_Automatic,survey_irrigation_inground_timer,0.959,0.919,Yes,0.000,5574
Survey_Irrigation_InGround_Back_Automatic,survey_irrigation_inground_drip,0.336,0.113,Yes,0.000,5574
Showerminutesperday,Showersperday,0.894,0.800,Yes,0.000,1178
survey_number_of_utility_sinks,survey_home_value,0.275,0.076,Yes,0.000,3937
survey_number_of_children_winter,survey_number_of_children,0.993,0.986,Yes,0.000,5574
survey_number_of_bathroom_sinks,survey_number_of_toilets,0.847,0.717,Yes,0.000,5525
survey_has_been_audited,SeasonalKgal,0.157,0.025,Yes,0.000,1188
survey_hot_tub,survey_household_income,0.213,0.045,Yes,0.000,4240
survey_irrigation_inground,survey_irrigation_inground_front,0.929,0.863,Yes,0.000,5574
survey_landscape_pct,survey_landscape_turf_pct,0.339,0.115,Yes,0.000,3953
survey_gray_water_last_few,survey_has_alternative_source,0.196,0.039,Yes,0.001,305
Clotheswashergpd,Clotheswasherloadsperday,0.952,0.906,Yes,0.000,1160
survey_roof_direction,survey_well,-0.380,0.144,Yes,0.000,274
Averagetoiletflushvolume,Toiletflushstdev,0.356,0.127,Yes,0.000,1186
Averageshowergal,Averageshowerseconds,0.595,0.354,Yes,0.000,1178
survey_canal_ditch,survey_evap_cooler,0.331,0.110,Yes,0.000,281
survey_number_of_children_winter,Bathtubgpd,0.250,0.062,Yes,0.000,725
survey_canal_ditch,survey_irrigation,-0.346,0.120,Yes,0.000,305
survey_clothes_washer,survey_clothes_washer_top,0.811,0.657,Yes,0.000,5530
survey_irrigation_inground,survey_irrigation_inground_timer,0.751,0.564,Yes,0.000,5574
survey_irrigation_inground_back,survey_irrigation_inground_front,0.748,0.560,Yes,0.000,5574
IndoorGPD,Othergpd,0.366,0.134,Yes,0.000,1099
survey_irrigation_pct,survey_landscape_turf_pct,0.429,0.184,Yes,0.000,4207
survey_number_of_bathtub_only,survey_number_of_bathtubs,0.535,0.287,Yes,0.000,3652
survey_floors,survey_separate_meters,0.149,0.022,Yes,0.000,4832
survey_conservation,reuws1_attitude_A,0.199,0.040,Yes,0.000,5191
survey_irrigation,survey_irrigation_inground,0.306,0.094,Yes,0.000,5574
Survey_Irrigation_InGround_Front_Automatic,survey_irrigation_inground_timer,0.960,0.921,Yes,0.000,5574
survey_number_of_adults_summer,survey_number_of_adults,0.978,0.957,Yes,0.000,5530
survey_has_alternative_source,survey_well,-0.717,0.514,Yes,0.000,305
survey_conservation,survey_irrigation_less_often,0.206,0.043,Yes,0.000,5318
survey_irrigation_hose_sprinkler,survey_irrigation_soaker,0.218,0.048,Yes,0.000,5574
capita,survey_number_of_adults,0.659,0.434,Yes,0.000,5545
survey_canal_ditch,survey_landscape_turf_pct,0.201,0.040,Yes,0.001,256
survey_floors,survey_stream,0.187,0.035,Yes,0.001,304
Clotheswasherloadsperday,NonseasonalKgal,0.654,0.428,Yes,0.000,1160
survey_irrigation_inground_cycle,survey_irrigation_inground_timer_adjusted_conservation,0.186,0.034,Yes,0.000,5574
survey_irrigation_efficient_system_installed,survey_irrigation_inground_drip,0.368,0.135,Yes,0.000,5574
survey_adults_employed,survey_homies,-0.605,0.367,Yes,0.000,5465
survey_number_of_bathtub_showers,survey_number_of_bathtubs,0.808,0.653,Yes,0.000,5409
survey_clothes_washer_front,survey_clothes_washer_top,-0.424,0.180,Yes,0.000,4866
Clotheswashergpd,NonseasonalKgal,0.685,0.469,Yes,0.000,1160
Showergpd,Showerminutesperday,0.923,0.853,Yes,0.000,1178
survey_renter,survey_year_moved_in,0.217,0.047,Yes,0.000,5388
survey_car_washed_less_often,survey_irrigation_less_often,0.309,0.095,Yes,0.000,5574
survey_replaced_showerheads_LF,survey_toilet_inserts,0.275,0.076,Yes,0.000,5574
IndoorGPD,NonseasonalKgal,0.991,0.982,Yes,0.000,1187
survey_water_feature_outdoor,survey_water_feature_outdoor_pond,0.748,0.560,Yes,0.000,5574
pct_flushes_gt_2_2,pct_flushes_lt_2_2,-1.000,1.000,Yes,0.000,1187
survey_pressure_regulator,survey_home_value,0.290,0.084,Yes,0.000,3945
survey_number_of_bathtubs,survey_number_of_showers,0.618,0.382,Yes,0.000,5574
survey_irrigation_inground,survey_irrigation_inground_back,0.926,0.857,Yes,0.000,5574
survey_number_of_kitchen_sinks,survey_number_of_toilets,0.280,0.078,Yes,0.000,5542
