var1,var2,Pearson coefficient (r),r-squared,Significance,p-value,Support (n)
survey_adults_employed,NonseasonalKgal,0.246,0.061,Yes,0.000,1171
survey_adults_employed,SeasonalKgal,0.021,0.000,No,0.477,1171
survey_aquarium,NonseasonalKgal,0.000,0.000,No,0.997,1188
survey_aquarium,SeasonalKgal,-0.044,0.002,No,0.128,1188
survey_canal_ditch,NonseasonalKgal,0.081,0.007,No,0.501,71
survey_canal_ditch,SeasonalKgal,0.174,0.030,No,0.146,71
survey_car_washed_less_often,NonseasonalKgal,0.069,0.005,Yes,0.017,1188
survey_car_washed_less_often,SeasonalKgal,-0.018,0.000,No,0.534,1188
survey_cistern,NonseasonalKgal,-0.084,0.007,No,0.484,71
survey_cistern,SeasonalKgal,-0.070,0.005,No,0.560,71
survey_clothes_washer,NonseasonalKgal,0.079,0.006,Yes,0.007,1183
survey_clothes_washer,SeasonalKgal,0.037,0.001,No,0.206,1183
survey_clothes_washer_front,NonseasonalKgal,0.063,0.004,Yes,0.041,1036
survey_clothes_washer_front,SeasonalKgal,-0.031,0.001,No,0.312,1036
survey_clothes_washer_top,NonseasonalKgal,0.033,0.001,No,0.260,1179
survey_clothes_washer_top,SeasonalKgal,0.044,0.002,No,0.128,1179
survey_clothes_washer_used_less,NonseasonalKgal,-0.060,0.004,Yes,0.037,1188
survey_clothes_washer_used_less,SeasonalKgal,-0.008,0.000,No,0.779,1188
survey_conservation,NonseasonalKgal,-0.018,0.000,No,0.537,1126
survey_conservation,SeasonalKgal,0.015,0.000,No,0.622,1126
survey_conservation_shower_short,NonseasonalKgal,0.043,0.002,No,0.135,1188
survey_conservation_shower_short,SeasonalKgal,0.008,0.000,No,0.793,1188
survey_dishwasher,NonseasonalKgal,0.127,0.016,Yes,0.000,1158
survey_dishwasher,SeasonalKgal,0.197,0.039,Yes,0.000,1158
survey_dishwasher_used_less,NonseasonalKgal,0.041,0.002,No,0.160,1188
survey_dishwasher_used_less,SeasonalKgal,0.113,0.013,Yes,0.000,1188
survey_disposal,NonseasonalKgal,0.023,0.001,No,0.423,1164
survey_disposal,SeasonalKgal,0.209,0.044,Yes,0.000,1164
survey_disposal_used_less,NonseasonalKgal,-0.069,0.005,Yes,0.017,1188
survey_disposal_used_less,SeasonalKgal,0.090,0.008,Yes,0.002,1188
survey_evap_cooler,NonseasonalKgal,0.063,0.004,Yes,0.037,1088
survey_evap_cooler,SeasonalKgal,0.146,0.021,Yes,0.000,1088
survey_faucet_drips_repaired,NonseasonalKgal,0.076,0.006,Yes,0.008,1188
survey_faucet_drips_repaired,SeasonalKgal,0.053,0.003,No,0.067,1188
survey_floors,NonseasonalKgal,0.047,0.002,No,0.106,1167
survey_floors,SeasonalKgal,-0.017,0.000,No,0.568,1167
survey_garden_flower,NonseasonalKgal,0.036,0.001,No,0.221,1151
survey_garden_flower,SeasonalKgal,0.050,0.003,No,0.089,1151
survey_garden_veggie,NonseasonalKgal,-0.036,0.001,No,0.222,1123
survey_garden_veggie,SeasonalKgal,0.025,0.001,No,0.395,1123
survey_gray_water_last_few,NonseasonalKgal,-0.051,0.003,No,0.077,1188
survey_gray_water_last_few,SeasonalKgal,-0.044,0.002,No,0.133,1188
survey_greenhouse,NonseasonalKgal,-0.017,0.000,No,0.581,1096
survey_greenhouse,SeasonalKgal,0.039,0.002,No,0.196,1096
survey_has_alternative_source,NonseasonalKgal,0.123,0.015,No,0.308,71
survey_has_alternative_source,SeasonalKgal,0.246,0.060,Yes,0.039,71
survey_has_apartment,NonseasonalKgal,0.053,0.003,No,0.070,1172
survey_has_apartment,SeasonalKgal,-0.027,0.001,No,0.363,1172
survey_has_been_audited,NonseasonalKgal,0.004,0.000,No,0.899,1188
survey_has_been_audited,SeasonalKgal,0.157,0.025,Yes,0.000,1188
survey_hot_tub,NonseasonalKgal,0.032,0.001,No,0.293,1091
survey_hot_tub,SeasonalKgal,0.068,0.005,Yes,0.026,1091
survey_hot_water_solar,NonseasonalKgal,0.000,0.000,Yes,0.000,1188
survey_hot_water_solar,SeasonalKgal,0.000,0.000,Yes,0.000,1188
survey_hot_water_tankless,NonseasonalKgal,0.054,0.003,No,0.064,1188
survey_hot_water_tankless,SeasonalKgal,0.006,0.000,No,0.837,1188
survey_household_pays,NonseasonalKgal,-0.016,0.000,No,0.572,1178
survey_household_pays,SeasonalKgal,-0.029,0.001,No,0.313,1178
survey_humidifier,NonseasonalKgal,0.043,0.002,No,0.140,1188
survey_humidifier,SeasonalKgal,-0.046,0.002,No,0.110,1188
survey_ice_maker,NonseasonalKgal,0.072,0.005,Yes,0.014,1188
survey_ice_maker,SeasonalKgal,0.040,0.002,No,0.168,1188
survey_irrigation,NonseasonalKgal,0.065,0.004,Yes,0.025,1188
survey_irrigation,SeasonalKgal,0.142,0.020,Yes,0.000,1188
survey_irrigation_avoid_heat,NonseasonalKgal,0.090,0.008,Yes,0.002,1188
survey_irrigation_avoid_heat,SeasonalKgal,0.050,0.003,No,0.083,1188
survey_irrigation_efficient_system_installed,NonseasonalKgal,-0.012,0.000,No,0.671,1188
survey_irrigation_efficient_system_installed,SeasonalKgal,0.139,0.019,Yes,0.000,1188
survey_irrigation_hand,NonseasonalKgal,-0.055,0.003,No,0.060,1188
survey_irrigation_hand,SeasonalKgal,-0.100,0.010,Yes,0.001,1188
survey_irrigation_HOA,NonseasonalKgal,0.031,0.001,No,0.285,1188
survey_irrigation_HOA,SeasonalKgal,-0.014,0.000,No,0.636,1188
survey_irrigation_hose_sprinkler,NonseasonalKgal,-0.006,0.000,No,0.826,1188
survey_irrigation_hose_sprinkler,SeasonalKgal,-0.181,0.033,Yes,0.000,1188
survey_irrigation_inground,NonseasonalKgal,0.107,0.011,Yes,0.000,1188
survey_irrigation_inground,SeasonalKgal,0.395,0.156,Yes,0.000,1188
survey_irrigation_inground_back,NonseasonalKgal,0.110,0.012,Yes,0.000,1188
survey_irrigation_inground_back,SeasonalKgal,0.399,0.159,Yes,0.000,1188
Survey_Irrigation_InGround_Back_Automatic,NonseasonalKgal,0.109,0.012,Yes,0.000,1188
Survey_Irrigation_InGround_Back_Automatic,SeasonalKgal,0.423,0.179,Yes,0.000,1188
