var1,var2,Pearson coefficient (r),r-squared,Significance,p-value,Support (n)
KEYCODE,StandardizedNonseasonalresidualbyfamily,-0.036,0.001,No,0.215,1188
survey_irrigation_inground_front,StandardizedNonseasonalresidualbyfamily,0.082,0.007,Yes,0.005,1188
survey_irrigation_inground_back,StandardizedNonseasonalresidualbyfamily,0.080,0.006,Yes,0.006,1188
survey_irrigation_inground_drip,StandardizedNonseasonalresidualbyfamily,0.028,0.001,No,0.343,1188
survey_irrigation_soaker,StandardizedNonseasonalresidualbyfamily,0.035,0.001,No,0.234,1188
survey_irrigation_hose_sprinkler,StandardizedNonseasonalresidualbyfamily,0.057,0.003,Yes,0.050,1188
survey_irrigation_hand,StandardizedNonseasonalresidualbyfamily,-0.064,0.004,Yes,0.027,1188
survey_irrigation_other,StandardizedNonseasonalresidualbyfamily,-0.028,0.001,No,0.340,1188
survey_conservation_shower_short,StandardizedNonseasonalresidualbyfamily,-0.047,0.002,No,0.103,1188
survey_replaced_showerheads_LF,StandardizedNonseasonalresidualbyfamily,-0.035,0.001,No,0.225,1188
survey_toilet_inserts,StandardizedNonseasonalresidualbyfamily,-0.052,0.003,No,0.071,1188
survey_replaced_toilets_ulft,StandardizedNonseasonalresidualbyfamily,-0.050,0.002,No,0.088,1188
survey_disposal_used_less,StandardizedNonseasonalresidualbyfamily,-0.050,0.002,No,0.087,1188
survey_dishwasher_used_less,StandardizedNonseasonalresidualbyfamily,0.074,0.005,Yes,0.011,1188
survey_clothes_washer_used_less,StandardizedNonseasonalresidualbyfamily,-0.043,0.002,No,0.135,1188
survey_faucet_drips_repaired,StandardizedNonseasonalresidualbyfamily,0.031,0.001,No,0.278,1188
survey_gray_water_last_few,StandardizedNonseasonalresidualbyfamily,-0.129,0.017,Yes,0.000,1188
survey_car_washed_less_often,StandardizedNonseasonalresidualbyfamily,0.037,0.001,No,0.201,1188
survey_irrigation_less_often,StandardizedNonseasonalresidualbyfamily,-0.060,0.004,Yes,0.038,1188
survey_irrigation_avoid_heat,StandardizedNonseasonalresidualbyfamily,0.057,0.003,No,0.051,1188
survey_irrigation_xeri,StandardizedNonseasonalresidualbyfamily,-0.028,0.001,No,0.330,1188
survey_irrigation_inground_timer_adjusted_conservation,StandardizedNonseasonalresidualbyfamily,0.039,0.002,No,0.181,1188
survey_irrigation_efficient_system_installed,StandardizedNonseasonalresidualbyfamily,-0.002,0.000,No,0.953,1188
survey_irrigation_inground_cycle,StandardizedNonseasonalresidualbyfamily,-0.001,0.000,No,0.964,1188
survey_has_been_audited,StandardizedNonseasonalresidualbyfamily,0.010,0.000,No,0.737,1188
survey_other_conservation,StandardizedNonseasonalresidualbyfamily,-0.083,0.007,Yes,0.004,1188
survey_number_of_adults_winter,StandardizedNonseasonalresidualbyfamily,-0.004,0.000,No,0.900,1188
survey_number_of_teenagers_winter,StandardizedNonseasonalresidualbyfamily,-0.004,0.000,No,0.888,1188
survey_number_of_children_winter,StandardizedNonseasonalresidualbyfamily,0.002,0.000,No,0.938,1188
survey_number_of_adults_summer,StandardizedNonseasonalresidualbyfamily,0.003,0.000,No,0.905,1188
survey_number_of_teenagers_summer,StandardizedNonseasonalresidualbyfamily,0.004,0.000,No,0.887,1188
survey_number_of_children_summer,StandardizedNonseasonalresidualbyfamily,-0.002,0.000,No,0.938,1188
survey_number_of_toilets,StandardizedNonseasonalresidualbyfamily,0.120,0.014,Yes,0.000,1185
survey_number_of_bathtub_showers,StandardizedNonseasonalresidualbyfamily,0.055,0.003,No,0.064,1142
survey_number_of_bathtub_only,StandardizedNonseasonalresidualbyfamily,0.076,0.006,Yes,0.035,765
survey_number_of_shower_only,StandardizedNonseasonalresidualbyfamily,0.073,0.005,Yes,0.020,1004
survey_number_of_whirlpools,StandardizedNonseasonalresidualbyfamily,0.066,0.004,No,0.060,806
survey_number_of_bathroom_sinks,StandardizedNonseasonalresidualbyfamily,0.118,0.014,Yes,0.000,1176
survey_number_of_kitchen_sinks,StandardizedNonseasonalresidualbyfamily,0.029,0.001,No,0.313,1181
survey_number_of_utility_sinks,StandardizedNonseasonalresidualbyfamily,0.074,0.005,Yes,0.022,964
survey_number_of_bathtubs,StandardizedNonseasonalresidualbyfamily,0.082,0.007,Yes,0.005,1188
survey_number_of_showers,StandardizedNonseasonalresidualbyfamily,0.108,0.012,Yes,0.000,1188
survey_disposal,StandardizedNonseasonalresidualbyfamily,0.082,0.007,Yes,0.005,1164
survey_clothes_washer_top,StandardizedNonseasonalresidualbyfamily,0.074,0.006,Yes,0.011,1179
survey_clothes_washer_front,StandardizedNonseasonalresidualbyfamily,0.041,0.002,No,0.183,1036
survey_dishwasher,StandardizedNonseasonalresidualbyfamily,0.152,0.023,Yes,0.000,1158
survey_pool,StandardizedNonseasonalresidualbyfamily,0.129,0.017,Yes,0.000,1101
survey_hot_tub,StandardizedNonseasonalresidualbyfamily,0.039,0.002,No,0.195,1091
