var1,var2,Pearson coefficient (r),r-squared,Significance,p-value,Support (n)
KEYCODE,StandardizedSeasonalresidualbyfamily,-0.029,0.001,No,0.342,1063
survey_irrigation_inground_front,StandardizedSeasonalresidualbyfamily,0.288,0.083,Yes,0.000,1063
survey_irrigation_inground_back,StandardizedSeasonalresidualbyfamily,0.311,0.097,Yes,0.000,1063
survey_irrigation_inground_drip,StandardizedSeasonalresidualbyfamily,0.081,0.007,Yes,0.008,1063
survey_irrigation_soaker,StandardizedSeasonalresidualbyfamily,0.010,0.000,No,0.748,1063
survey_irrigation_hose_sprinkler,StandardizedSeasonalresidualbyfamily,-0.055,0.003,No,0.074,1063
survey_irrigation_hand,StandardizedSeasonalresidualbyfamily,-0.083,0.007,Yes,0.007,1063
survey_irrigation_other,StandardizedSeasonalresidualbyfamily,-0.034,0.001,No,0.272,1063
survey_conservation_shower_short,StandardizedSeasonalresidualbyfamily,-0.051,0.003,No,0.094,1063
survey_replaced_showerheads_LF,StandardizedSeasonalresidualbyfamily,0.011,0.000,No,0.731,1063
survey_toilet_inserts,StandardizedSeasonalresidualbyfamily,0.009,0.000,No,0.781,1063
survey_replaced_toilets_ulft,StandardizedSeasonalresidualbyfamily,0.013,0.000,No,0.675,1063
survey_disposal_used_less,StandardizedSeasonalresidualbyfamily,0.005,0.000,No,0.861,1063
survey_dishwasher_used_less,StandardizedSeasonalresidualbyfamily,0.070,0.005,Yes,0.022,1063
survey_clothes_washer_used_less,StandardizedSeasonalresidualbyfamily,0.024,0.001,No,0.426,1063
survey_faucet_drips_repaired,StandardizedSeasonalresidualbyfamily,0.007,0.000,No,0.832,1063
survey_gray_water_last_few,StandardizedSeasonalresidualbyfamily,-0.029,0.001,No,0.340,1063
survey_car_washed_less_often,StandardizedSeasonalresidualbyfamily,-0.008,0.000,No,0.801,1063
survey_irrigation_less_often,StandardizedSeasonalresidualbyfamily,-0.040,0.002,No,0.194,1063
survey_irrigation_avoid_heat,StandardizedSeasonalresidualbyfamily,0.039,0.002,No,0.202,1063
survey_irrigation_xeri,StandardizedSeasonalresidualbyfamily,-0.054,0.003,No,0.078,1063
survey_irrigation_inground_timer_adjusted_conservation,StandardizedSeasonalresidualbyfamily,0.230,0.053,Yes,0.000,1063
survey_irrigation_efficient_system_installed,StandardizedSeasonalresidualbyfamily,0.051,0.003,No,0.098,1063
survey_irrigation_inground_cycle,StandardizedSeasonalresidualbyfamily,0.068,0.005,Yes,0.026,1063
survey_has_been_audited,StandardizedSeasonalresidualbyfamily,0.054,0.003,No,0.076,1063
survey_other_conservation,StandardizedSeasonalresidualbyfamily,-0.007,0.000,No,0.819,1063
survey_number_of_adults_winter,StandardizedSeasonalresidualbyfamily,0.002,0.000,No,0.939,1063
survey_number_of_teenagers_winter,StandardizedSeasonalresidualbyfamily,0.007,0.000,No,0.817,1063
survey_number_of_children_winter,StandardizedSeasonalresidualbyfamily,0.003,0.000,No,0.912,1063
survey_number_of_adults_summer,StandardizedSeasonalresidualbyfamily,-0.002,0.000,No,0.942,1063
survey_number_of_teenagers_summer,StandardizedSeasonalresidualbyfamily,-0.007,0.000,No,0.815,1063
survey_number_of_children_summer,StandardizedSeasonalresidualbyfamily,-0.003,0.000,No,0.912,1063
survey_number_of_toilets,StandardizedSeasonalresidualbyfamily,0.279,0.078,Yes,0.000,1060
survey_number_of_bathtub_showers,StandardizedSeasonalresidualbyfamily,0.118,0.014,Yes,0.000,1025
survey_number_of_bathtub_only,StandardizedSeasonalresidualbyfamily,0.099,0.010,Yes,0.010,680
survey_number_of_shower_only,StandardizedSeasonalresidualbyfamily,0.160,0.026,Yes,0.000,903
survey_number_of_whirlpools,StandardizedSeasonalresidualbyfamily,0.194,0.038,Yes,0.000,721
survey_number_of_bathroom_sinks,StandardizedSeasonalresidualbyfamily,0.293,0.086,Yes,0.000,1051
survey_number_of_kitchen_sinks,StandardizedSeasonalresidualbyfamily,0.046,0.002,No,0.132,1056
survey_number_of_utility_sinks,StandardizedSeasonalresidualbyfamily,0.146,0.021,Yes,0.000,861
survey_number_of_bathtubs,StandardizedSeasonalresidualbyfamily,0.159,0.025,Yes,0.000,1063
survey_number_of_showers,StandardizedSeasonalresidualbyfamily,0.237,0.056,Yes,0.000,1063
survey_disposal,StandardizedSeasonalresidualbyfamily,0.119,0.014,Yes,0.000,1044
survey_clothes_washer_top,StandardizedSeasonalresidualbyfamily,0.011,0.000,No,0.728,1056
survey_clothes_washer_front,StandardizedSeasonalresidualbyfamily,-0.024,0.001,No,0.468,921
survey_dishwasher,StandardizedSeasonalresidualbyfamily,0.188,0.035,Yes,0.000,1037
survey_pool,StandardizedSeasonalresidualbyfamily,0.245,0.060,Yes,0.000,985
survey_hot_tub,StandardizedSeasonalresidualbyfamily,0.068,0.005,Yes,0.033,974
survey_evap_cooler,StandardizedSeasonalresidualbyfamily,0.068,0.005,Yes,0.033,972
survey_pressure_regulator,StandardizedSeasonalresidualbyfamily,0.032,0.001,No,0.347,874
survey_treatment,StandardizedSeasonalresidualbyfamily,0.095,0.009,Yes,0.003,999
survey_greenhouse,StandardizedSeasonalresidualbyfamily,0.027,0.001,No,0.394,979
survey_garden_flower,StandardizedSeasonalresidualbyfamily,0.118,0.014,Yes,0.000,1031
survey_garden_veggie,StandardizedSeasonalresidualbyfamily,0.022,0.000,No,0.480,1005
survey_clothes_washer,StandardizedSeasonalresidualbyfamily,0.013,0.000,No,0.670,1059
survey_aquarium,StandardizedSeasonalresidualbyfamily,-0.100,0.010,Yes,0.001,1063
survey_hot_water_solar,StandardizedSeasonalresidualbyfamily,0.000,0.000,Yes,0.000,1063
survey_humidifier,StandardizedSeasonalresidualbyfamily,-0.023,0.001,No,0.450,1063
survey_ice_maker,StandardizedSeasonalresidualbyfamily,0.023,0.001,No,0.457,1063
survey_hot_water_tankless,StandardizedSeasonalresidualbyfamily,0.000,0.000,No,0.993,1063
survey_water_feature_outdoor_fountain,StandardizedSeasonalresidualbyfamily,0.060,0.004,No,0.052,1063
survey_water_feature_outdoor_pond,StandardizedSeasonalresidualbyfamily,0.051,0.003,No,0.099,1063
survey_water_feature_outdoor,StandardizedSeasonalresidualbyfamily,0.078,0.006,Yes,0.011,1063
survey_number_of_showers_lfsh,StandardizedSeasonalresidualbyfamily,0.121,0.015,Yes,0.000,982
survey_number_of_toilets_16,StandardizedSeasonalresidualbyfamily,0.062,0.004,No,0.055,942
survey_other_sources,StandardizedSeasonalresidualbyfamily,-0.085,0.007,Yes,0.007,1007
survey_canal_ditch,StandardizedSeasonalresidualbyfamily,-0.038,0.001,No,0.769,61
survey_cistern,StandardizedSeasonalresidualbyfamily,-0.009,0.000,No,0.946,61
survey_well,StandardizedSeasonalresidualbyfamily,-0.262,0.068,Yes,0.042,61
survey_stream,StandardizedSeasonalresidualbyfamily,0.000,0.000,Yes,0.000,61
survey_has_alternative_source,StandardizedSeasonalresidualbyfamily,0.265,0.070,Yes,0.039,61
survey_rain_barrel,StandardizedSeasonalresidualbyfamily,-0.002,0.000,No,0.961,1063
survey_roof_direction,StandardizedSeasonalresidualbyfamily,-0.026,0.001,No,0.403,1052
survey_irrigation,StandardizedSeasonalresidualbyfamily,0.201,0.040,Yes,0.000,1063
survey_irrigation_inground,StandardizedSeasonalresidualbyfamily,0.316,0.100,Yes,0.000,1063
survey_irrigation_HOA,StandardizedSeasonalresidualbyfamily,-0.041,0.002,No,0.178,1063
Survey_Irrigation_InGround_Front_Automatic,StandardizedSeasonalresidualbyfamily,0.316,0.100,Yes,0.000,1063
Survey_Irrigation_InGround_Back_Automatic,StandardizedSeasonalresidualbyfamily,0.340,0.115,Yes,0.000,1063
survey_irrigation_inground_timer,StandardizedSeasonalresidualbyfamily,0.343,0.118,Yes,0.000,1063
survey_irrigation_sensor_rain,StandardizedSeasonalresidualbyfamily,0.028,0.001,No,0.402,913
survey_irrigation_sensor_soil,StandardizedSeasonalresidualbyfamily,0.035,0.001,No,0.294,913
survey_conservation,StandardizedSeasonalresidualbyfamily,-0.002,0.000,No,0.961,1008
survey_SFR,StandardizedSeasonalresidualbyfamily,0.141,0.020,Yes,0.000,1052
survey_has_apartment,StandardizedSeasonalresidualbyfamily,-0.059,0.003,No,0.056,1052
survey_separate_meters,StandardizedSeasonalresidualbyfamily,0.018,0.000,No,0.592,930
survey_household_pays,StandardizedSeasonalresidualbyfamily,-0.027,0.001,No,0.388,1056
survey_adults_employed,StandardizedSeasonalresidualbyfamily,-0.027,0.001,No,0.378,1048
survey_floors,StandardizedSeasonalresidualbyfamily,0.068,0.005,Yes,0.028,1044
survey_renter,StandardizedSeasonalresidualbyfamily,-0.106,0.011,Yes,0.001,1045
reuws1_attitude_A,StandardizedSeasonalresidualbyfamily,-0.031,0.001,No,0.327,1030
survey_drought,StandardizedSeasonalresidualbyfamily,-0.104,0.011,Yes,0.003,808
survey_highest_grade,StandardizedSeasonalresidualbyfamily,0.193,0.037,Yes,0.000,1022
irrigated_area_sqft,StandardizedSeasonalresidualbyfamily,0.204,0.041,Yes,0.000,1015
Q3,StandardizedSeasonalresidualbyfamily,0.056,0.003,No,0.078,995
Q4no,StandardizedSeasonalresidualbyfamily,-0.012,0.000,No,0.706,1063
Q4year,StandardizedSeasonalresidualbyfamily,0.034,0.001,No,0.269,1063
Q5no,StandardizedSeasonalresidualbyfamily,-0.180,0.032,Yes,0.000,1063
Q5year,StandardizedSeasonalresidualbyfamily,0.137,0.019,Yes,0.000,1063
Q6,StandardizedSeasonalresidualbyfamily,0.001,0.000,No,0.980,1063
Q13,StandardizedSeasonalresidualbyfamily,0.198,0.039,Yes,0.000,1034
Q14,StandardizedSeasonalresidualbyfamily,0.265,0.070,Yes,0.000,1033
Q20,StandardizedSeasonalresidualbyfamily,0.207,0.043,Yes,0.000,1063
Q23no,StandardizedSeasonalresidualbyfamily,-0.051,0.003,No,0.094,1063
Q23length,StandardizedSeasonalresidualbyfamily,0.242,0.059,Yes,0.000,1063
Q23width,StandardizedSeasonalresidualbyfamily,0.230,0.053,Yes,0.000,1063
Q23depth,StandardizedSeasonalresidualbyfamily,0.222,0.049,Yes,0.000,1063
survey_year,StandardizedSeasonalresidualbyfamily,0.000,0.000,No,1.000,1063
survey_parcel_sqft,StandardizedSeasonalresidualbyfamily,0.259,0.067,Yes,0.000,862
survey_landscape_pct,StandardizedSeasonalresidualbyfamily,0.115,0.013,Yes,0.001,872
survey_landscape_turf_pct,StandardizedSeasonalresidualbyfamily,0.020,0.000,No,0.558,872
survey_irrigation_pct,StandardizedSeasonalresidualbyfamily,0.233,0.055,Yes,0.000,918
Survey_Car_Washed,StandardizedSeasonalresidualbyfamily,-0.028,0.001,No,0.368,1044
survey_walk_washed,StandardizedSeasonalresidualbyfamily,0.099,0.010,Yes,0.001,1040
survey_number_of_adults,StandardizedSeasonalresidualbyfamily,0.000,0.000,No,1.000,1063
