var1,var2,Pearson coefficient (r),r-squared,Significance,p-value,Support (n),Surprising
reuws2_attitude_J,reuws2_attitude_P,0.622,0.387,Yes,0,1449,Mildly
reuws2_attitude_D,reuws2_attitude_E,0.628,0.394,Yes,0,1469,Mildly
survey_irrigation_inground_master,survey_irrigation_inground_bfp,0.637,0.406,Yes,0,1539,Mildly
survey_irrigation_inground_timer,survey_irrigation_inground_bfp,0.657,0.431,Yes,0,1539,Mildly
survey_landscape_turf,survey_landscape_trees_and_shrubs,0.723,0.522,Yes,0,1539,Mildly
survey_irrigation,survey_landscape_turf,0.73,0.532,Yes,0,1502,Mildly
survey_irrigation,survey_landscape_trees_and_shrubs,0.746,0.557,Yes,0,1502,Mildly
PctSeasonal,StandardizedSeasonalresidualbyfamily,0.782,0.612,Yes,0,1124,Mildly
survey_irrigation_inground,survey_irrigation_inground_timer,0.909,0.826,Yes,0,1143,Mildly
SurveyID,IndicatorofeachfirstmatchingcaseasPrimary,0,0,No,1,1539,No
SurveyID,survey_year,0,0,No,1,1539,No
SurveyID,survey_pool_cover_chemical,0,0,No,1,209,No
survey_hot_water_wait,survey_hot_water_wait_other_room,-0.115,0.013,Yes,0,1497,No
survey_hot_water_propane,survey_hot_water_solar,0.132,0.017,Yes,0,1539,No
survey_humidifier,Wheredoyouthinkhomeownersusethemostwater,-0.134,0.018,Yes,0.017,318,No
survey_program_participation_3,survey_audit_last_few,0.147,0.022,Yes,0,1513,No
survey_number_of_toilets_dual,survey_irrigation_inground_timer_adjusted,0.151,0.023,Yes,0.018,245,No
survey_pool_fill_automatic,RandomSequence,-0.158,0.025,Yes,0.023,207,No
survey_hot_water_propane,StandardizedSeasonalresidualbyfamily,-0.164,0.027,Yes,0,1124,No
survey_irrigation_sensor_soil,survey_irrigation_inground_wbic,0.169,0.028,Yes,0,1539,No
SurveyID,survey_leak_irrigation,0.17,0.029,Yes,0,1539,No
survey_hot_water_tankless,survey_other_sources_pct,0.174,0.03,No,0.116,83,No
survey_aquarium,survey_pool_cover_overnight,0.177,0.031,Yes,0.013,197,No
HOWWOULDYOURANKYOURDIRECTCUSTOMERSERVICEEXPERIENCEWITH,survey_other_features,-0.178,0.032,Yes,0.001,337,No
survey_pets,survey_adults_employed,0.192,0.037,Yes,0,1447,No
survey_program_participation_3,survey_landscape_rebate_3,0.194,0.038,Yes,0,1513,No
survey_showers_not_at_home,Ifyouhavealawndoyouoverseedforatemporarywinterlawn,-0.195,0.038,Yes,0.003,227,No
HOWWOULDYOURANKYOURDIRECTCUSTOMERSERVICEEXPERIENCEWITH,reuws2_attitude_I,-0.2,0.04,Yes,0,331,No
survey_participant,DOYOUTHINKYOURWATERUTILITYDOESTHERIGHTAMOUNTOFWATERC,-0.2,0.04,Yes,0,461,No
survey_conservation_shower_short,survey_toilet_inserts,0.202,0.041,Yes,0,1539,No
survey_gray_water_last_few,survey_other_sources_pct,-0.205,0.042,No,0.054,89,No
survey_retrofit_rebate_3,reuws2_attitude_K,0.206,0.042,Yes,0,1479,No
survey_household_pays,survey_renter,-0.209,0.044,Yes,0,1511,No
survey_landscape_no_maintenance,survey_landscaper,0.217,0.047,Yes,0,1137,No
survey_leak_pool,survey_leak_other,0.216,0.047,Yes,0,1539,No
survey_irrigation_inground_timer,WHATTERMWOULDYOUPREFERTOUSEWHENDESCRIBINGALANDSCAPEAP,-0.221,0.049,Yes,0,334,No
survey_irrigation_inground_master,survey_irrigation_inground_wbic,0.229,0.052,Yes,0,1539,No
survey_evap_cooler,survey_spa_or_hot_tub_outdoor_filled,-0.233,0.054,Yes,0.002,166,No
survey_renter,Inwhatyeardidyoumovetothishome,0.236,0.056,Yes,0,1485,No
survey_number_of_toilets_dual,survey_replaced_toilets_last_few,0.241,0.058,Yes,0,510,No
survey_water_feature_outdoor,reuws2_attitude_A,0.243,0.059,Yes,0.002,168,No
survey_giveaway_3,survey_followed_guidelines,0.245,0.06,Yes,0,1539,No
Isyourtapwaterclearandfreeofdiscoloration,DOYOUTRUSTTHATTHETAPWATERDELIVEREDTOYOURHOMEISSAFET,0.25,0.063,Yes,0,360,No
survey_leak_pool,survey_leak_irrigation,0.25,0.063,Yes,0,1539,No
survey_rain_barrel_last_few,survey_other_sources_pct,-0.255,0.065,Yes,0.016,89,No
survey_rain_barrel,survey_roof_direction,0.257,0.066,Yes,0,1539,No
DOYOUTRUSTTHATTHETAPWATERDELIVEREDTOYOURHOMEISSAFET,survey_faucet_drips_repaired,-0.26,0.068,Yes,0,365,No
reuws2_attitude_E,reuws2_attitude_F,0.27,0.073,Yes,0,1477,No
survey_number_of_showers_rain,survey_number_of_showers_spray,0.274,0.075,Yes,0,1338,No
survey_water_feature_indoor,survey_greenhouse_indoor,0.274,0.075,Yes,0,1436,No
survey_faucet_drips,survey_other_sources_pct,0.278,0.077,Yes,0.008,89,No
DOYOUTHINKYOURWATERUTILITYDOESTHERIGHTAMOUNTOFWATERC,reuws2_attitude_S,-0.282,0.08,Yes,0,450,No
survey_leak_toilet,survey_other_sources_pct,0.288,0.083,Yes,0.006,89,No
