var1,var2,Pearson coefficient (r),r-squared,Significance,p-value,Support (n)
survey_hot_water_waiting,survey_hot_water_wait,-0.557,0.310,Yes,0.000,1311
survey_irrigation_inground_timer,survey_irrigation_manual_override,0.582,0.339,Yes,0.000,1539
survey_clothes_washer_used_less,survey_dishwasher_used_less,0.614,0.378,Yes,0.000,1539
SurveyID,survey_pool,0.547,0.299,Yes,0.000,1394
survey_irrigation_inground_wbic,survey_irrigation_sensor_rain,0.553,0.306,Yes,0.000,1539
survey_age_of_home,survey_years_in_home,0.361,0.131,Yes,0.000,1463
PremiseYear,survey_number_of_toilets_GT16,-0.391,0.153,Yes,0.000,177
survey_other_sources_pct,survey_hot_water_tankless,0.174,0.030,No,0.116,83
survey_irrigation,survey_landscape_turf,0.730,0.532,Yes,0.000,1502
survey_garden_flower,survey_garden_veggie,0.459,0.210,Yes,0.000,1539
survey_conservation_shower_short,survey_toilet_inserts,0.202,0.041,Yes,0.000,1539
SurveyID,survey_pool_cover,-0.659,0.434,Yes,0.000,209
Howmanybedroomsdoesthishousehave,survey_number_of_toilets,0.539,0.291,Yes,0.000,1506
survey_rain_barrel,survey_roof_direction,0.257,0.066,Yes,0.000,1539
survey_hot_water_wait,survey_hot_water_wait_other_room,-0.115,0.013,Yes,0.000,1497
SurveyID,survey_pool_cover_overnight,-0.652,0.426,Yes,0.000,209
survey_manual_irrigation_pct,survey_irrigation_inground,-0.658,0.433,Yes,0.000,1135
survey_conservation_last_few,survey_replaced_clothes_washer_HE,0.395,0.156,Yes,0.000,1452
survey_other_sources_pct,survey_shower_bucket,-0.231,0.053,Yes,0.030,89
survey_drought,DOYOUTRUSTTHATTHETAPWATERDELIVEREDTOYOURHOMEISSAFET,0.230,0.053,Yes,0.000,358
survey_irrigation_inground_monitor,survey_leak_irrigation_repaired,0.698,0.488,Yes,0.000,1539
PctSeasonal,SeasonalKgal,0.671,0.451,Yes,0.000,2925
survey_conservation_last_few,survey_irrigation_avoid_heat,0.672,0.452,Yes,0.000,1452
survey_aquarium,survey_pool_cover_overnight,0.177,0.031,Yes,0.013,197
survey_conservation_last_few,survey_faucet_drips_repaired,0.484,0.234,Yes,0.000,1452
Adultsincludingyouage18,Howmanybedroomsdoesthishousehave,0.277,0.077,Yes,0.000,1489
survey_audit_last_few,survey_program_participation_3,0.147,0.022,Yes,0.000,1513
survey_irrigation_inground_monitor,survey_irrigation_timer_shortened_last_few,0.605,0.367,Yes,0.000,1539
survey_landscaper,survey_treatment,0.379,0.144,Yes,0.000,1072
survey_other_sources_pct,survey_baths_per_week,0.349,0.122,Yes,0.001,89
survey_leak_other,survey_leak_pool,0.216,0.047,Yes,0.000,1539
reuws2_attitude_I,HOWWOULDYOURANKYOURDIRECTCUSTOMERSERVICEEXPERIENCEWITH,-0.200,0.040,Yes,0.000,331
survey_number_of_showers_hydra,survey_number_of_showers_rain,0.296,0.088,Yes,0.000,1337
SurveyID,survey_treatment,0.498,0.248,Yes,0.000,1448
survey_conservation_last_few,survey_dishwasher_used_less,0.601,0.362,Yes,0.000,1452
